"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem","PI_lastname","seq_meth"
"mgm4467420","wastewater treatment plant","waste water","wastewater|sludge",NA,"Stanley AS DNA -2","Stanley WWTP activated sludge sample","metagenome","WGS","asia","Hong Kong",22.21,114.22,"aquatic biome","mgp3718","free-living","sludge","freshwater","wastewater","zhang","illumina"
"mgm4490314","wastewater treatment plant","water","wastewater|sludge",NA,"Merged_10_ST09-7.fasta","Full-scale activated sludge metagenomes of Shatin WWTP","metagenome","WGS",NA,"Hong Kong",22.3964,114.1095,"aquatic biome","mgp439","free-living","sludge","freshwater","wastewater","zhang","illumina"
"mgm4490316","wastewater treatment plant","water","wastewater|sludge",NA,"Merged_10_ST08-1.fasta","Full-scale activated sludge metagenomes of Shatin WWTP","metagenome","WGS",NA,"Hong Kong",22.3964,114.1095,"aquatic biome","mgp439","free-living","sludge","freshwater","wastewater","zhang","illumina"
"mgm4491214","wastewater treatment plant","water","wastewater|sludge",NA,"Merged_10_ST08-7.fasta","Full-scale activated sludge metagenomes of Shatin WWTP","metagenome","WGS",NA,"Hong Kong",22.3964,114.1095,"aquatic biome","mgp439","free-living","sludge","freshwater","wastewater","zhang","illumina"
"mgm4491220","wastewater treatment plant","water","wastewater|sludge",NA,"Merged_10_ST09-1.fasta","Full-scale activated sludge metagenomes of Shatin WWTP","metagenome","WGS",NA,"Hong Kong",22.3964,114.1095,"aquatic biome","mgp439","free-living","sludge","freshwater","wastewater","zhang","illumina"
"mgm4491221","wastewater treatment plant","water","wastewater|sludge",NA,"Merged_10_ST10-1.fasta","Full-scale activated sludge metagenomes of Shatin WWTP","metagenome","WGS",NA,"Hong Kong",22.3964,114.1095,"aquatic biome","mgp439","free-living","sludge","freshwater","wastewater","zhang","illumina"
"mgm4491222","wastewater treatment plant","water","wastewater|sludge",NA,"Merged_10_ST10-7.fasta","Full-scale activated sludge metagenomes of Shatin WWTP","metagenome","WGS",NA,"Hong Kong",22.3964,114.1095,"aquatic biome","mgp439","free-living","sludge","freshwater","wastewater","zhang","illumina"
"mgm4491567","wastewater treatment plant","water","wastewater|sludge",NA,"Merged_10_ST11-1","Full-scale activated sludge metagenomes of Shatin WWTP","metagenome","WGS",NA,"Hong Kong",22.3964,114.1095,"aquatic biome","mgp439","free-living","sludge","freshwater","wastewater","zhang","illumina"
"mgm4491568","wastewater treatment plant","water","wastewater|sludge",NA,"Merged_10_ST07-7","Full-scale activated sludge metagenomes of Shatin WWTP","metagenome","WGS",NA,"Hong Kong",22.3964,114.1095,"aquatic biome","mgp439","free-living","sludge","freshwater","wastewater","zhang","illumina"
"mgm4494854","wastewater treatment plant","activated sludge","wastewater|sludge",NA,"M8_META","Metagenomics data","metagenome","WGS",NA,"China",34.08,115.29,"aquatic biome","mgp922","free-living","sludge","freshwater","wastewater","xu-xiang","illumina"
"mgm4494855","wastewater treatment plant","activated sludge","wastewater|sludge",NA,"M9_META","Metagenomics data","metagenome","WGS",NA,"China",34.08,115.29,"aquatic biome","mgp922","free-living","sludge","freshwater","wastewater","xu-xiang","illumina"
"mgm4494863","wastewater treatment plant","activated sludge","wastewater|sludge",NA,"M10_META","Metagenomics data","metagenome","WGS",NA,"China",33.44,114.9,"aquatic biome","mgp922","free-living","sludge","freshwater","wastewater","xu-xiang","illumina"
"mgm4494888","wastewater treatment plant","activated sludge","wastewater|sludge",NA,"M11_META","Metagenomics data","metagenome","WGS",NA,"China",33.44,114.9,"aquatic biome","mgp922","free-living","sludge","freshwater","wastewater","xu-xiang","illumina"
