samples,feature,material,env.package,metagenome_taxonomy,sample_name,project_name,investigation_type,sequence_type,continent,country,latitude,longitude,raw_biome,project_id,life_style,habitat,biosphere,ecosystem,PI_lastname,seq_meth
mgm4441347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_biome,mgp2321,free-living,alkaline_salt_lake,marine,saline_water,souza,454
mgm4445126,NA,NA,NA,NA,NA,Polar Micorboial Mats,NA,WGS,NA,NA,NA,NA,no_biome,mgp2964,free-living,coastal_marine_sediment,marine,sediment,lovejoy,454
mgm4445129,NA,NA,NA,NA,NA,Polar Micorboial Mats,NA,WGS,NA,NA,NA,NA,no_biome,mgp2964,free-living,coastal_marine_sediment,marine,sediment,lovejoy,454
mgm4448044,NA,NA,human-gut,NA,BGIgutGeneSet,Human Gut Microbial Metagenome,metagenome,WGS,europe,NA,NA,NA,no_biome,NA,NA,NA,NA,NA,Wang,illumina
mgm4529907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_biome,mgp5298,host-associated,human_feces,terrestrial,human_host-associated,wang,454
mgm4622354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_biome,mgp12701,free-living,lake,freshwater,freshwater,tripathy,illumina
mgm4711609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_biome,mgp19238,free-living,sludge,freshwater,wastewater,joshi,illumina
mgm4718321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_biome,mgp19999,host-associated,chyme,terrestrial,animal_host-associated,guan,illumina
mgm4720071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_biome,mgp20252,free-living,coastal_seawater,marine,saline_water,ocean sampling day team,illumina
mgm4727054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_biome,mgp20934,free-living,saline_marsh_sediment,marine,sediment,helgason,illumina
mgm4727384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_biome,mgp20922,free-living,grassland,terrestrial,soil,nelson,illumina
mgm4730300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_biome,mgp14051,free-living,stream_biofilm,freshwater,freshwater,aunins,illumina
mgm4730301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_biome,mgp14051,free-living,stream_biofilm,freshwater,freshwater,aunins,illumina
mgm4749374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_biome,mgp80207,free-living,compost,terrestrial,soil,lu,illumina
