samples;total_number_of_reads;file_size;GC_content;total_number_of_bases;complete_sequence_size;average_read_size;read_size_mode;read_size_median;lowest_read_size;highest_read_size
mgm4529738;701727;4909;0.5473417732042758;481129;481129;98.00957425137503;100;100;50;100
mgm4529739;1670267;11698;0.539196299427725;1144904;1144904;97.87177295264148;100;100.0;50;100
mgm4529740;13759150;97020;0.5427643795887587;9442777;9442777;97.3281488352917;100;100.0;50;100
mgm4529741;6276232;44466;0.5764414677778059;4298171;4298171;96.66196644627355;100;100.0;50;100
mgm4529743;1406753;9848;0.5573377632740082;964347;964347;97.92313160032494;100;100.0;50;100
mgm4529786;47896732;118654;0.6437181731646033;44329533;44329533;373.60335934734604;51;401.0;50;1014
mgm4529787;42183430;110352;0.6457675984083291;38873615;38873615;352.2692384370016;52;369.0;50;1010
mgm4529846;1694092;5049;0.4748827785518648;1548778;1548778;306.7494553376906;422;323;50;569
mgm4529847;8481209;23699;0.43038980823223355;7781339;7781339;328.3403941094561;366;350;50;563
mgm4529848;17943440;58003;0.3792658868189654;16214448;16214448;279.5449890522904;313;289;50;569
mgm4529850;13215025;38976;0.5003730244323331;12056851;12056851;309.3403889573071;359;326.0;50;590
mgm4529851;12976529;36203;0.40888495027660704;11901541;11901541;328.7446068005414;379;347;50;579
mgm4529852;7139945;19788;0.46070103672598206;6557374;6557374;331.3813422276127;407;356.5;50;573
mgm4529853;8047089;22826;0.46132854929692646;7373411;7373411;323.0268553404013;309;332.0;50;564
mgm4529854;9491161;27059;0.407648607438677;8690497;8690497;321.16844672752137;398;344;50;556
mgm4529855;7170362;20395;0.44329277054442545;6569568;6569568;322.11659720519737;335;345;50;579
mgm4529856;19237722;57784;0.39770194163870826;17515308;17515308;303.11691817804234;306;313.0;50;585
mgm4529857;21044178;59858;0.39390735451649445;19259417;19259417;321.7517625045942;220;329.0;50;590
mgm4529858;4021648;12078;0.4399705319345447;3670414;3670414;303.89253187613843;369;320.0;50;545
mgm4529859;11158861;32640;0.42822253708622704;10190643;10190643;312.21332720588236;351;326.0;50;569
mgm4529860;7365018;20720;0.38694107443872416;6754522;6754522;325.99044401544404;382;349.0;50;658
mgm4529861;4053543;12208;0.40053368909000847;3698408;3698408;302.94954128440367;324;319.0;50;576
mgm4529862;3326456;9254;0.5272118794572562;3059197;3059197;330.5810460341474;398;354.0;50;546
mgm4529863;12365061;32863;0.4042332267599252;11390271;11390271;346.5986367647506;425;374;50;591
mgm4529864;1882574;5529;0.3957376855122855;1723336;1723336;311.6903599204196;52;336;50;575
mgm4529865;14581155;42755;0.41394523100637576;13309611;13309611;311.2995205239153;351;330;50;571
mgm4529866;3047271;8578;0.44533679191400793;2799607;2799607;326.37059920727444;403;353.0;50;558
mgm4529867;12296004;34125;0.4405485104214091;11283359;11283359;330.6478827838828;385;352;50;614
mgm4529868;11435569;32341;0.4359256701845913;10476442;10476442;323.9368603320862;308;331;50;551
mgm4529869;27017715;76428;0.4024598191337997;24735965;24735965;323.65056000418696;365;343.0;50;565
mgm4529870;15245866;40730;0.38061161215358297;14035071;14035071;344.5880432113921;293;367.0;50;598
mgm4529871;31820439;91417;0.4492787746310594;29089035;29089035;318.2015927015763;400;332;50;574
mgm4529874;12868109;35863;0.39747320331120284;11803324;11803324;329.1226054708195;423;353;50;566
mgm4529875;15262010;43633;0.41083144050691034;13964126;13964126;320.0358902665414;356;337;50;574
mgm4529876;12289186;35834;0.4190641260493863;11225251;11225251;313.2569905676173;392;326.0;50;612
mgm4529877;8356084;20530;0.46511695412645665;7751287;7751287;377.5590355577204;526;399.0;50;586
mgm4529878;11655725;32367;0.4650580689628478;10695817;10695817;330.45438255012823;413;355;50;591
mgm4529879;5160201;14742;0.42032832837743594;4729046;4729046;320.7872744539411;333;345.0;50;541
mgm4529881;6243895;15244;0.4381867838078568;5797676;5797676;380.3251115192863;479;415.0;50;594
mgm4529882;5699363;15429;0.4163397393741404;5247599;5247599;340.11270983213427;457;369;50;603
mgm4529883;12159629;35622;0.43593982811481324;11102062;11102062;311.6630733816181;426;326.0;50;546
mgm4529884;4447861;11888;0.4644385978982173;4102327;4102327;345.08134253028265;453;380.0;50;571
mgm4529885;11517165;33801;0.4138175694536846;10514237;10514237;311.0628975474098;352;324;50;577
mgm4529886;9962662;26012;0.46457927879597155;9193404;9193404;353.42934030447486;368;368.0;50;599
mgm4529887;15291287;43977;0.4209519648031764;13983080;13983080;317.96348091047594;373;334;50;551
mgm4529889;6010554;16677;0.43375983546047087;5521348;5521348;331.0756131198657;381;355;50;591
mgm4529890;14404991;40195;0.43930587397674664;13209705;13209705;328.6405025500684;352;337;50;580
mgm4529891;8781595;24969;0.4309783426925189;8043613;8043613;322.1439785333814;386;343;50;636
mgm4529894;9635068;24500;0.4677853894447578;8911174;8911174;363.72138775510206;482;389.0;50;663
mgm4529895;38689872;106362;0.3649823163396672;35503679;35503679;333.8004080404656;355;347.0;50;598
mgm4529896;9598582;28092;0.4226139724019539;8766925;8766925;312.0790616545636;338;328.0;50;564
mgm4529897;15629638;43962;0.46220234151052664;14321866;14321866;325.77830853919295;310;340.0;50;593
mgm4529898;5399570;14555;0.42845444240394426;4973726;4973726;341.71940913775336;426;361;50;582
mgm4529900;13778489;38227;0.3781340899176882;12642785;12642785;330.72919664111754;325;348;50;591
mgm4529901;4829647;14205;0.3965518530205321;4414603;4414603;310.7781063005984;374;329;50;579
mgm4529902;7323774;18066;0.46086845023953016;6792882;6792882;376.0036532713384;470;413.0;50;588
mgm4529903;9808433;24306;0.39429248317552457;9090328;9090328;373.9952275158397;457;406.0;50;604
mgm4529908;12219890;35741;0.41201715853579085;11158761;11158761;312.2117735933522;359;329;50;572
mgm4529911;12363223;38079;0.4863772181464014;11231957;11231957;294.96459991071197;276;298;50;602
mgm4529913;9282393;27214;0.3978270109314777;8477079;8477079;311.49698684500623;306;326.0;50;580
mgm4529914;7905703;19484;0.41273356495767005;7332275;7332275;376.3228803120509;478;408.0;50;668
mgm4529915;15650507;51890;0.41481002581804405;14104864;14104864;271.8223935247639;265;270.0;50;573
mgm4529916;5272371;15745;0.4297888455564325;4811123;4811123;305.5651317878692;344;323;50;579
mgm4529917;4688712;13573;0.45342084149849465;4292628;4292628;316.262285419583;349;334;50;568
mgm4529918;7465317;23975;0.4325939431520265;6757145;6757145;281.8412930135558;336;292;50;582
mgm4529919;8076320;24211;0.38238368308197584;7361096;7361096;304.03932096980714;300;322;50;555
mgm4529920;5552048;15000;0.3971203286895581;5113153;5113153;340.8768666666667;423;367.0;50;577
mgm4529923;6469972;19011;0.4035083949768024;5910737;5910737;310.9114197043817;345;329;50;578
mgm4529924;9373184;26501;0.43084247071342585;8589260;8589260;324.11078827214067;341;342;50;555
mgm4529925;19712605;58287;0.3835700839733807;17975101;17975101;308.389537975878;334;322;50;561
mgm4529927;32993699;94676;0.38328606202153026;30164525;30164525;318.6079365414677;360;341.0;50;582
mgm4529928;20278967;57880;0.38691412582030266;18553365;18553365;320.548807878369;318;319.0;50;675
mgm4529929;12910847;33281;0.45470528378320463;11923521;11923521;358.26811093416666;489;376;50;659
mgm4530050;95876711;83248;0.6308697094134228;93390377;93390377;1121.8332812800309;502;827.0;440;20028
mgm4530144;97210291;157356;0.43262542599057413;92443360;92443360;587.479091995221;201;369.0;200;39081
mgm4530252;262458294;670669;0.5079748720111898;241778363;241778363;360.5032631596212;489;397;50;1462
mgm4530253;512486518;1161744;0.5136450571733648;476420796;476420796;410.09103210345825;508;466.0;50;1134
mgm4530254;559658291;1311661;0.4937349122341292;518794089;518794089;395.5245211986939;502;450;50;993
mgm4530290;237541117;579817;0.590483175424198;219677812;219677812;378.87438967812255;503;418;50;975
mgm4530291;223852372;514489;0.5981103297621367;208013754;208013754;404.31137303227086;509;466;50;916
mgm4530370;223764235;429703;0.4695752670552141;210554305;210554305;489.99961601385144;502;501;64;2044
mgm4530372;186456103;440698;0.4599033936789132;172905456;172905456;392.3445443364844;493;411.0;64;1196
mgm4530373;261462445;510703;0.5524992185386339;245741515;245741515;481.1828303338731;492;505;50;1196
mgm4530393;69660804;344048;0.6363950078437379;56559768;56559768;164.39499139654933;150;150.0;51;292
mgm4530394;46891840;223324;0.62070386937348;38337085;38337085;171.66576364385378;150;150.0;150;292
mgm4530395;443213116;2028141;0.6254026402035033;366769758;366769758;180.8403646492034;150;150;149;292
mgm4530396;589776418;2726012;0.6282495440467476;486854187;486854187;178.59576076701057;150;150.0;149;292
mgm4530427;374109157;888866;0.5220778073671619;346665245;346665245;390.00844334241606;490;436.0;50;1521
mgm4530428;348033640;892683;0.5405241801803518;320471369;320471369;358.997952240605;494;403;50;907
mgm4530429;270952439;859046;0.4709431213564386;244432552;244432552;284.53953804569255;56;286.0;50;916
mgm4530430;280618928;540493;0.48724321795088776;263974644;263974644;488.3960458322309;519;501;64;2044
mgm4530431;268779030;523633;0.48583800800486593;252657324;252657324;482.508405696356;511;505;64;1196
mgm4530432;285739130;532862;0.4638471711345977;269331372;269331372;505.4430077581062;511;507.0;64;1196
mgm4530477;249991612;677562;0.3839272454221119;229098216;229098216;338.1214058639652;449;365.0;50;2039
mgm4530478;422850416;1047017;0.4859972233241743;390456095;390456095;372.9224024060736;485;403;50;966
mgm4530680;158265670;414352;0.6151729797449949;139405050;139405050;336.44111769703056;253;324.0;51;494
mgm4530682;322456246;821065;0.6080177935357337;285074764;285074764;347.20121305864944;253;338;65;494
mgm4530683;26718643;65632;0.598156508481885;23728452;23728452;361.5378473915163;345;358.0;56;494
mgm4530711;17233874;15230;0.5587697079576526;16788079;16788079;1102.3032829940905;1112;1108.0;222;1461
mgm4530717;35179479;31877;0.4675877318856614;34234275;34234275;1073.9490855475735;1096;1089;128;1939
mgm4531566;562649574;3925646;0.62775464517511;388028106;388028106;98.84439554661832;101;101.0;50;101
mgm4531567;7046221;48832;0.6276146005079141;4869721;4869721;99.72397198558322;101;101.0;50;101
mgm4531568;570207438;3955123;0.6281656573029569;394269343;394269343;99.68573493163171;101;101;50;101
mgm4531569;7134410;49261;0.6280288962201934;4938639;4938639;100.25454213272162;101;101;50;101
mgm4531570;569025867;3945839;0.6280756994889775;393501626;393501626;99.7257176483886;101;101;50;101
mgm4531573;561630948;3912650;0.6275865295973381;387590819;387590819;99.06094820645853;101;101.0;50;101
mgm4531574;13359871;69712;0.4299491986161938;11279614;11279614;161.80304682120726;163;162.0;144;178
mgm4531583;569384233;3952503;0.6248920050630835;393557802;393557802;99.5717908373504;101;101;50;101
mgm4531584;177724860;1231148;0.6252256686501036;122961807;122961807;99.87573143115206;101;101.0;50;101
mgm4531585;553680154;3863542;0.6250205701365074;381815648;381815648;98.82528726231008;101;101.0;50;101
mgm4531586;176867126;1230969;0.6243246412625018;122114360;122114360;99.2018158052721;101;101;50;101
mgm4531600;570827915;3957684;0.6190519783173175;394769051;394769051;99.74749146217839;101;101.0;50;101
mgm4531601;563802451;3928041;0.6186245143705372;389068754;389068754;99.04905625985064;101;101;50;101
mgm4531602;75428336;522329;0.6188633348563283;52197589;52197589;99.93239701414242;101;101;50;101
mgm4531603;74505624;517645;0.6184792213350072;51484323;51484323;99.45874682456123;101;101;50;101
mgm4531604;214208250;1484532;0.5625859558228787;148169863;148169863;99.80914052374756;101;101.0;50;101
mgm4531605;212858161;1480350;0.5608260195200574;147008584;147008584;99.30663964602965;101;101.0;50;101
mgm4531895;570897736;3954046;0.5952065563930894;394998159;394998159;99.8972088336858;101;101.0;50;101
mgm4531896;106137029;734593;0.5951391003999779;73466072;73466072;100.00921871022457;101;101;50;101
mgm4531897;564628346;3926695;0.5947102164521352;389951986;389951986;99.30793860995061;101;101;50;101
mgm4531898;104933320;728105;0.5945875212367159;72552414;72552414;99.64553738815144;101;101;50;101
mgm4531922;565079570;3916201;0.6262772705968943;390860990;390860990;99.8061616347067;101;101;50;101
mgm4531923;128025861;886821;0.625570493469464;88583617;88583617;99.88894827704802;101;101;50;101
mgm4531924;557242328;3878270;0.6258454612519307;384716330;384716330;99.19792330085322;101;101.0;50;101
mgm4531925;126560063;879392;0.6250542608704045;87450219;87450219;99.44395559659401;101;101.0;50;101
mgm4532156;662032628;3822686;0.49473389673386253;585578908;585578908;153.18519700545636;126;145.0;50;365
mgm4532159;850379078;3844853;0.5011795171556913;668632920;668632920;173.90337680010134;250;158;50;494
mgm4532160;787202211;3596241;0.6209967490104172;617107791;617107791;171.59800775309552;250;156;50;494
mgm4532161;525412190;1875078;0.6380151069246052;437065397;437065397;233.09184844577132;250;249.0;50;494
mgm4532162;933320538;3254390;0.6231289552019817;780276681;780276681;239.76127046850561;250;248.0;50;494
mgm4532163;670623363;2259351;0.6177520633377188;564319156;564319156;249.77046771395857;250;250;50;494
mgm4532453;558682569;3875356;0.5522910302872025;386194829;386194829;99.65402636557776;101;101.0;50;101
mgm4532454;556902393;3868397;0.552205124809343;384730332;384730332;99.45471780688487;101;101;50;101
mgm4532455;558346106;3873736;0.5521666983712029;385985775;385985775;99.64173474908976;101;101.0;50;101
mgm4532456;551601104;3836445;0.5522317930816454;380848882;380848882;99.27129986224226;101;101;50;101
mgm4532457;6851863;47414;0.5531227198127051;4717266;4717266;99.49099422111613;101;101.0;50;101
mgm4532458;548707966;3817212;0.5520670887290685;378870674;378870674;99.25324399064029;101;101.0;50;101
mgm4532702;404454487;1473871;0.6182019842123073;337349485;337349485;228.8867105737205;250;250;50;251
mgm4532935;3901533;13184;0.49562937435173665;3287630;3287630;249.3651395631068;251;251.0;161;251
mgm4532936;3805391;12881;0.49851107568776576;3205670;3205670;248.86810030277152;251;250;196;251
mgm4532937;12832206;46254;0.5439350280237301;10678450;10678450;230.86543866476413;251;251.0;50;251
mgm4532938;12502842;45163;0.5448087225196467;10399839;10399839;230.27343179151075;251;250;50;251
mgm4532939;3811116;12915;0.47453521886797506;3209629;3209629;248.51947348044908;251;250;166;251
mgm4532940;3799407;12906;0.47658358707849097;3198419;3198419;247.8241902990857;251;250.0;141;251
mgm4532941;892112;3034;0.4697389451251998;750800;750800;247.46209624258404;251;251.0;57;251
mgm4532942;909907;3101;0.46934699230833543;765504;765504;246.85714285714286;251;250;57;251
mgm4532943;32091637;110948;0.5286948127750564;26924030;26924030;242.6725132494502;251;251.0;50;251
mgm4532944;31666830;109581;0.5293602116945575;26563177;26563177;242.406776722242;251;251;50;251
mgm4532969;43110306;150165;0.4120006813097693;36118666;36118666;240.5265274864316;251;251;50;251
mgm4532970;42264591;147446;0.4110937784564698;35399463;35399463;240.0842545745561;251;251.0;50;251
mgm4532971;18847766;64810;0.5049122739633813;15829736;15829736;244.24835673507175;251;251.0;50;251
mgm4532972;17712864;61060;0.5022654667570361;14869342;14869342;243.52017687520473;251;251.0;50;251
mgm4532973;2742674;9282;0.47740722738461233;2310407;2310407;248.9126265890972;251;251.0;170;251
mgm4532974;2725993;9244;0.4889172041113703;2295585;2295585;248.33243184768497;251;250.0;187;251
mgm4532975;8696202;30514;0.578501620067475;7274697;7274697;238.40522383168383;251;250.0;51;251
mgm4532976;8838698;31024;0.5802915216091712;7393620;7393620;238.31936565239815;251;250.0;50;251
mgm4532977;3274761;11225;0.45670896802633504;2751921;2751921;245.16;251;251;51;251
mgm4532978;7455057;25318;0.4706212177703846;6276060;6276060;247.8892487558259;251;250.0;126;251
mgm4532979;19188243;65614;0.5130134278152889;16133451;16133451;245.88427774560307;251;251.0;50;251
mgm4532980;18755998;64226;0.5127631085708777;15765830;15765830;245.47426275963005;251;251.0;50;251
mgm4532981;9120972;31297;0.5216109804294113;7663234;7663234;244.8552257404863;251;251;50;251
mgm4532982;8804503;30276;0.5173457417732147;7394322;7394322;244.2304795877923;251;250.0;50;251
mgm4532999;1728400;6485;0.5418008335699438;1426395;1426395;219.95296838858906;251;250;50;251
mgm4533000;1656198;6240;0.544227650015927;1365605;1365605;218.84695512820514;251;250.0;50;251
mgm4533001;3737399;13492;0.5335615294975492;3109021;3109021;230.43440557367327;251;251.0;50;251
mgm4533002;3560818;12875;0.5329063366323928;2961147;2961147;229.992;251;250;50;251
mgm4533003;3289720;11247;0.482886466295348;2765998;2765998;245.93207077442872;251;251;52;251
mgm4533004;3321356;11361;0.4815479185430428;2792395;2792395;245.78778276560163;251;251;52;251
mgm4533005;10903336;38570;0.5720005736493764;9106608;9106608;236.1059891107078;251;250.0;50;251
mgm4533006;10928540;38690;0.5736853068336005;9126331;9126331;235.88345825794778;251;250.0;50;251
mgm4533007;2280643;7817;0.4664196041643406;1916654;1916654;245.19048228220544;251;251;50;251
mgm4533008;2260507;7754;0.46506854363207545;1899520;1899520;244.97291720402373;251;250.0;50;251
mgm4533009;4829013;16440;0.5021556969635669;4063419;4063419;247.16660583941606;251;251.0;52;251
mgm4533010;4749020;16198;0.49970198183954184;3994723;3994723;246.61828620817386;251;251.0;52;251
mgm4533025;3567440;12157;0.5638270613985547;3001227;3001227;246.87233692522827;251;251;52;251
mgm4533026;3369914;11506;0.5637547944093746;2834030;2834030;246.30888232226664;251;250.0;51;251
mgm4533027;2420831;8903;0.5828106183256637;2006192;2006192;225.33887453667302;251;250;51;251
mgm4533028;2268241;8378;0.5828423649333285;1878091;1878091;224.16937216519455;251;250.0;50;251
mgm4533029;2142969;7244;0.4650622601517859;1805569;1805569;249.2502760905577;251;251.0;208;251
mgm4533030;2117298;7177;0.46708355299316906;1783060;1783060;248.4408527239794;251;250;190;251
mgm4533031;8885665;30843;0.53206241448092;7449361;7449361;241.5251758908018;251;251;50;251
mgm4533032;8457863;29427;0.5327114196740477;7087479;7087479;240.8495259455602;251;251;50;251
mgm4533033;1258321;4332;0.48531108471480155;1056545;1056545;243.89312096029548;251;251.0;50;251
mgm4533034;1170398;4037;0.48345334872462015;982374;982374;243.34258112459747;251;250;50;251
mgm4533635;3072405077;10832107;0.5821671538410595;2726054269;2726054269;251.66426707195563;229;250;100;490
mgm4533663;26174841;96106;0.5290210946528257;21798747;21798747;226.81983434957235;251;250.0;50;251
mgm4533664;3859848;15391;0.5204546743425753;3156369;3156369;205.07887726593464;251;234;50;251
mgm4533665;142496444;554905;0.5255753410039923;117225827;117225827;211.25386687811428;251;245;50;251
mgm4533666;162740010;616792;0.511710704552354;134653982;134653982;218.31343791748273;251;250.0;50;251
mgm4533667;83174814;298388;0.5030855982027038;69587641;69587641;233.2119287638913;251;250.0;50;251
mgm4533668;40028014;149576;0.5204783660274006;33216322;33216322;222.06986414932877;251;250.0;50;251
mgm4533669;14309014;53491;0.5452177318493626;11873550;11873550;221.972855246677;251;250;50;251
mgm4533670;138414916;516902;0.5103739692209857;114873919;114873919;222.23539278238428;251;250.0;50;251
mgm4533671;44693530;171075;0.49722923508851874;36902806;36902806;215.71127283355253;251;250;50;251
mgm4533672;13493559;49931;0.5224622482997162;11219892;11219892;224.70793695299514;251;250;50;251
mgm4533673;52225867;192433;0.5229744714137234;43463198;43463198;225.8614582737888;251;250;50;251
mgm4533674;68260485;244513;0.5669690976033851;57125990;57125990;233.6317087435024;251;250;50;251
mgm4533675;21931271;79145;0.4892950859771085;18327611;18327611;231.5700423273738;251;250;50;251
mgm4533676;4214293;15123;0.5025924589772142;3523103;3523103;232.9632348079085;251;250;50;251
mgm4533677;126286991;453340;0.4875998910366514;105642862;105642862;233.0322980544404;251;250.0;50;251
mgm4533678;42558998;156002;0.47425834795898353;35454834;35454834;227.27166318380534;251;250.0;50;251
mgm4533679;6880921;24828;0.5102004839291259;5746296;5746296;231.44417593040117;251;250.0;50;251
mgm4533680;23167497;86124;0.5085332858544646;19247861;19247861;223.49009567600206;251;250.0;50;251
mgm4533700;6504338;27015;0.4568408134268914;5351827;5351827;198.10575606144735;185;196;89;294
mgm4533701;6872714;28478;0.4539757649560649;5651403;5651403;198.4480300582906;183;196.0;152;294
mgm4533702;23360338;97016;0.4525767520617226;19224337;19224337;198.15635565267584;177;196.0;111;294
mgm4533703;24983456;103713;0.45290060486095046;20559436;20559436;198.23393402948523;174;196;68;294
mgm4533704;11156167;46286;0.45472957802781744;9170723;9170723;198.13168128591798;178;196.0;149;294
mgm4533705;2239442;9307;0.4556405043009718;1839933;1839933;197.6934565380896;174;195;152;293
mgm4533706;13695316;56020;0.42036085648923316;11308817;11308817;201.87106390574795;184;199.0;80;294
mgm4533707;10371699;42413;0.42071357623688077;8560627;8560627;201.8396953764176;185;200;89;294
mgm4533708;16132366;66057;0.4202049105363554;13317812;13317812;201.61091178830404;183;199;137;294
mgm4533709;4483385;18325;0.4187867477949633;3698011;3698011;201.80141882673942;185;199;147;294
mgm4533710;16300302;66670;0.42024897031744485;13452447;13452447;201.77661616919153;183;199.0;89;293
mgm4533711;6485305;26503;0.41994341783505146;5347268;5347268;201.7608572614421;186;199;84;292
mgm4533712;7620599;31136;0.42372990853062803;6284508;6284508;201.8405704008222;186;200.0;152;294
mgm4533714;35482153;139192;0.435208614274668;29550950;29550950;212.30350882234612;187;210.0;52;294
mgm4533715;35528778;139305;0.4331427243023373;29603704;29603704;212.5099888733355;197;210;64;294
mgm4533716;15506170;60875;0.4293659464995236;12910614;12910614;212.08400821355235;186;209;62;294
mgm4533717;15173676;59552;0.43004262616961614;12636838;12636838;212.1983812466416;186;209.0;66;294
mgm4533718;5613026;21962;0.4357073978252622;4670724;4670724;212.6729806028595;195;210.0;145;294
mgm4533719;11950691;46837;0.4326895774095598;9955999;9955999;212.56696628733692;187;210;108;294
mgm4533720;17273773;67060;0.43044456053047164;14412683;14412683;214.9222039964211;202;213.0;83;294
mgm4533721;18652346;72445;0.4317150426875973;15560843;15560843;214.7952653737318;201;213;67;294
mgm4533722;7976038;30956;0.43238640059354355;6656967;6656967;215.04609768703966;199;214.0;130;294
mgm4533723;37509805;145462;0.4327242796912892;31299323;31299323;215.17181806932393;199;214.0;58;294
mgm4533724;8708739;33737;0.4380593733297214;7261139;7261139;215.22776180454693;203;214;87;294
mgm4533725;27444874;106447;0.43241218391557257;22907250;22907250;215.19864345636796;199;214;111;294
mgm4533726;8313198;32212;0.43327284661491827;6936509;6936509;215.33928349683347;199;214.0;152;294
mgm4533727;13319460;51607;0.4358178757574216;11105935;11105935;215.20210436568684;199;214;132;294
mgm4533728;13533263;53852;0.46108073514339953;11239331;11239331;208.70777315605733;190;207.0;121;294
mgm4533729;17194494;68398;0.46030110705201843;14274126;14274126;208.6921547413667;196;207.0;131;294
mgm4533730;14050221;55780;0.4613882629313562;11669677;11669677;209.20898171387594;192;208.0;143;294
mgm4533731;18966002;75248;0.46114392010602195;15744666;15744666;209.2370029768233;195;207.0;84;294
mgm4533732;20705699;82379;0.46173739170313904;17195443;17195443;208.73575789946466;191;207;81;293
mgm4533733;4246449;16880;0.46047328115929514;3521036;3521036;208.59218009478673;206;207.0;152;294
mgm4533734;7779122;30900;0.46456775399690564;6452992;6452992;208.8346925566343;189;207.0;152;294
mgm4533735;2812575;11175;0.4649859895949649;2332909;2332909;208.7614317673378;193;207;140;289
mgm4533736;37873142;147693;0.44738704861970047;31571770;31571770;213.76619067931452;192;211;82;294
mgm4533737;40654352;158654;0.44732862359876735;33905237;33905237;213.70552901282036;192;211.0;70;294
mgm4533738;21481192;83651;0.44790268960127544;17919236;17919236;214.21424728933306;195;211;64;294
mgm4533739;32014547;124628;0.44796808938914434;26697828;26697828;214.2201431460025;195;211.0;75;294
mgm4533741;3608694;14046;0.44844746044275363;3005012;3005012;213.9407660543927;196;211.0;146;294
mgm4533742;17305681;67340;0.44979936464025405;14427417;14427417;214.2473566973567;192;211.0;103;294
mgm4533743;2463322;10156;0.4760868696663985;2027359;2027359;199.62179992122884;189;199.0;152;293
mgm4533744;5122620;21155;0.47343181470831974;4213724;4213724;199.18336090758686;190;198;152;294
mgm4533745;14319981;59187;0.4722121476477635;11795370;11795370;199.289877844797;181;198;61;294
mgm4533746;2167751;8949;0.4712503011862536;1784610;1784610;199.42004693261816;193;198;152;294
mgm4533747;42572962;175699;0.4725327033170224;35075494;35075494;199.63399905520237;187;199;71;294
mgm4533748;9512704;39273;0.47299338760136284;7825602;7825602;199.26163012756857;187;198;111;294
mgm4533749;45508175;188216;0.47375437911741497;37478157;37478157;199.1231191822162;183;198.0;58;294
mgm4533750;1816707;7503;0.479100304488241;1494639;1494639;199.20551779288286;188;198;152;293
mgm4533751;9377856;38073;0.4494300334772995;7742560;7742560;203.3609119323405;186;202;64;294
mgm4533752;9211396;37398;0.4492908786920228;7606738;7606738;203.399593561153;193;202.0;152;294
mgm4533753;7827872;31766;0.45224585180707483;6466611;6466611;203.57020084366934;189;202.0;151;294
mgm4533754;23546915;95657;0.4504514517731436;19469743;19469743;203.53704381278945;186;202;103;294
mgm4533755;9305150;37774;0.4550772758073712;7684229;7684229;203.4264044051464;195;202.0;149;294
mgm4533756;7937136;32206;0.4536200396210947;6555094;6555094;203.5364217847606;188;202.0;127;293
mgm4533757;3717904;15107;0.4479663284410935;3068465;3068465;203.11544317203945;181;202;121;293
mgm4533758;15493502;63013;0.44876089228404087;12807805;12807805;203.25655023566566;187;202;50;294
mgm4533759;5025083;20897;0.4384358923224511;4126877;4126877;197.48657702062496;181;196;150;294
mgm4533760;21164850;88120;0.43748826441150374;17409651;17409651;197.56753290966864;184;196.0;90;294
mgm4533761;5162578;21452;0.44495111349580585;4241866;4241866;197.73755360805518;184;196.0;151;293
mgm4533762;7895920;32822;0.4430991608908159;6487356;6487356;197.65267198830054;183;196.0;150;294
mgm4533763;22081887;91854;0.44086288481916186;18168404;18168404;197.79654669366604;185;196.0;69;294
mgm4533764;29376213;122120;0.43803239040400416;24169998;24169998;197.92006223386832;185;196.0;121;294
mgm4533766;7689984;31951;0.43738325508525455;6317727;6317727;197.73174548527433;189;196;151;294
mgm4533767;9771420;37270;0.4600633159120333;8170458;8170458;219.22345049637778;204;218.0;55;294
mgm4533768;23027846;88033;0.4607039847218296;19265134;19265134;218.83991230561267;202;217;78;294
mgm4533769;8618904;32819;0.46390906599624554;7210592;7210592;219.70785215881045;198;218;151;294
mgm4533771;11043412;42173;0.4615517808973455;9240454;9240454;219.10829203518838;206;217;77;294
mgm4533772;12095630;46198;0.4624263542800341;10128389;10128389;219.23868998657952;200;217.0;67;294
mgm4533773;17447218;66523;0.46222174242612096;14598794;14598794;219.4548351697909;198;218;126;294
mgm4533774;20817281;79296;0.46220331570878065;17422097;17422097;219.7096574858757;206;218.0;51;294
mgm4533775;12687760;52404;0.47655451553114303;10437255;10437255;199.16905198076483;185;197.0;58;294
mgm4533776;4641424;19167;0.47676853456495455;3817624;3817624;199.17691866228412;184;197;92;294
mgm4533777;6292279;25914;0.4801015272144726;5178513;5178513;199.83456818708035;187;198.0;151;294
mgm4533778;20719768;85529;0.4765722355898521;17077323;17077323;199.6670486033977;184;197;73;294
mgm4533779;12287774;50678;0.4794649711456355;10113548;10113548;199.5648604917321;186;197.0;50;294
mgm4533780;19712944;81428;0.4772883145783584;16238447;16238447;199.42092400648426;188;197.0;67;294
mgm4533781;13977965;57756;0.4762938628294988;11508349;11508349;199.25806842579127;186;197.0;54;294
mgm4533782;14439260;59658;0.4758380911145807;11889996;11889996;199.30262496228502;184;197.0;50;294
mgm4533783;17296083;68094;0.4651565400304549;14395040;14395040;211.39953593561842;193;210.0;84;294
mgm4533784;21433936;84357;0.463592893765742;17834087;17834087;211.41205827613595;195;210;87;294
mgm4533785;21728303;85310;0.4655217901489628;18076127;18076127;211.8875512835541;195;210.0;77;294
mgm4533786;20631841;81087;0.4655850228777164;17174354;17174354;211.80157115197258;190;210;127;294
mgm4533787;7849257;30842;0.466601529667242;6525733;6525733;211.58592179495494;191;210.0;115;294
mgm4533788;11371794;44664;0.466185524249195;9455551;9455551;211.70407934802077;194;210.0;140;294
mgm4533789;9067897;35535;0.4652753597514842;7541734;7541734;212.2339665118897;191;211;151;294
