samples;total_number_of_reads;file_size;GC_content;total_number_of_bases;complete_sequence_size;average_read_size;read_size_mode;read_size_median;lowest_read_size;highest_read_size
SRR2177362;12059511055;70575168;0.4970540519003694;10386511393;10386511393;147.16948874992406;150;150.0;50;150
SRR2177950;10441450936;61133499;0.5083638392609144;8994953771;8994953771;147.1362496525841;150;150;50;150
SRR2177951;10709708892;62810539;0.5231650438622351;9222837253;9222837253;146.83582404857248;150;150;50;150
SRR2177952;5821941231;34255161;0.5217228297391192;5020231195;5020231195;146.55400962792146;150;150;50;150
SRR2177953;9144847068;53761762;0.5395879789720173;7874977925;7874977925;146.47916348054218;150;150.0;50;150
SRR2177954;10391023099;60707281;0.4864850032235275;8955402099;8955402099;147.51775983839565;150;150;50;150
SRR2177956;10636184992;62246368;0.5175905496267524;9163483741;9163483741;147.21314729559802;150;150.0;50;150
SRR2177968;12646892675;73866012;0.48752994082596274;10895506036;10895506036;147.50364533014184;150;150.0;50;150
SRR2177986;11446844987;66911244;0.49774122074587146;9862256774;9862256774;147.3931163796626;150;150.0;50;150
SRR3308675;10635419719;65033221;0.427344742465911;9215477100;9215477100;141.7041468697975;150;149;50;150
SRR3308741;13304956710;86377914;0.5390373954538813;11415344987;11415344987;132.15583079489508;150;141.0;50;150
SRR3309137;16478312900;101878790;0.44466781466676636;14243722921;14243722921;139.81048382101906;150;148.0;50;150
SRR3309324;13854734139;84644785;0.4016466453978588;12003492085;12003492085;141.8101786778713;150;149;50;150
SRR3309325;12760332332;77817270;0.413274174076186;11059303619;11059303619;142.11888465118346;150;149.0;50;150
SRR3309326;10331529076;63243230;0.4362623050171583;8951000623;8951000623;141.5329454710014;150;149.0;50;150
SRR3309327;11728948898;72198537;0.4178093527306685;10151144555;10151144555;140.60041902234113;150;149;50;150
SRR3546449;17817868089;102214636;0.48833147750216677;15385684780;15385684780;150.52330450993338;151;151.0;50;151
SRR3546450;15748711670;90349495;0.4854835640512203;13601118773;13601118773;150.53895733451526;151;151;50;151
SRR3546451;15364567424;88173931;0.4796462836755511;13269084166;13269084166;150.48761028925884;151;151;50;151
SRR3546453;14205600610;81475805;0.5066831625447942;12271221439;12271221439;150.61184653529966;151;151;50;151
SRR3546454;13966686418;80075164;0.48616757875805794;12065895412;12065895412;150.68211926484472;151;151.0;50;151
SRR3546455;13833554707;79357273;0.5168733401796269;11949768976;11949768976;150.58190036343612;151;151;50;151
SRR3546457;16179980162;92856865;0.4014322380423559;13972739313;13972739313;150.47610441080474;151;151;50;151
SRR3989308;7181763503;42511992;0.44509395962631243;6183062213;6183062213;145.44277795780542;150;150.0;50;150
SRR3989310;4969555405;29561358;0.5008986775586576;4281654708;4281654708;144.83958105036987;150;150.0;50;150
SRR3989311;7084604802;41955613;0.45246917051225327;6099251520;6099251520;145.37391027989509;150;150;50;150
SRR3989312;6434402472;38173083;0.4459554381067235;5539760496;5539760496;145.12216621329748;150;150;50;150
SRR3989313;13014212748;79022350;0.47291845768479057;11139365919;11139365919;140.9647513519909;150;149.0;50;150
SRR3989315;5460804688;32565118;0.47738949025657856;4700648933;4700648933;144.34613542625578;150;150.0;50;150
SRR4343426;12363333643;102852791;0.4765598203604727;9915676056;9915676056;96.4064850316021;101;101;50;101
SRR4343427;2566508236;17233010;0.4673264492083704;2198075439;2198075439;127.55029092422043;186;131.0;50;187
SRR4343428;8458954615;70037768;0.4813686757848913;6798910321;6798910321;97.074914223423;101;101.0;50;101
SRR4343429;850373769;5955286;0.4757553318705293;726373461;726373461;121.97121364112488;121;123.0;50;187
SRR4343430;7011179753;57550782;0.4828629687690709;5651478205;5651478205;98.19985078569393;101;101.0;50;101
SRR4343431;127730853;1141987;0.5184577874712749;104781356;104781356;91.75354535559512;101;100;50;101
SRR4343433;10730703961;88636796;0.4894217893769859;8624158778;8624158778;97.29772698462611;101;101.0;50;101
SRR4343434;868016492;5897391;0.4896374981337505;745237984;745237984;126.36740280574918;185;129;50;187
SRR4343440;177482678;1578621;0.5142792552033568;145367841;145367841;92.08533333840104;101;100;50;101
