"habitat","count"
"agricultural_soil",12
"animal_feces",7
"animal_skin",2
"coastal_marine_sediment",5
"coastal_seawater",19
"compost",9
"contaminated_soil",1
"coral",3
"coral_reef_seawater",13
"estuarine_seawater",1
"grassland",11
"hot_spring",4
"human-gut",15
"human_feces",37
"hydrothermal_vent",1
"lake",11
"lung",8
"marine_biofilm",2
"meadow_soil",1
"oceanic_seawater",11
"permafrost",1
"plant-associated",2
"polar_seawater",2
"rhizosphere",26
"river",2
"river_sediment",12
"saline_water_biofilm",1
"saliva",15
"salt_lake",1
"sea_worm",1
"sewage",5
"sludge",6
"sponge",14
"stream_biofilm",1
