"samples","file_size","total_number_of_reads","GC_content","total_number_of_bases","complete_sequence_length","average_read_size","read_size_mode","read_size_median","lowest_read_size","highest_read_size","life_style","biosphere","ecosystem","habitat","country","latitude","longitude","seq_method"
"mgm4445737",34117445,104420,0.491682050553132,30983718,30983718,296.722064738556,339,298,100,1080,"host-associated","terrestrial","human_host-associated","saliva","United States of America",32.9,-117.2,"454"
"mgm4446075",72759022,179311,0.483696514648475,67311374,67311374,375.388983386407,463,406,100,790,"host-associated","terrestrial","human_host-associated","saliva","United States of America",32.9,-117.2,"454"
"mgm4446120",57099124,126452,0.421688287993016,53290209,53290209,421.426383133521,502,456,100,2017,"host-associated","terrestrial","human_host-associated","saliva","United States of America",32.9,-117.2,"454"
"mgm4446126",47692335,111548,0.563039272771767,44345253,44345253,397.544133467207,465,448,100,759,"host-associated","terrestrial","human_host-associated","saliva","United States of America",14,-14,"454"
"mgm4446411",16218997,46805,0.446393287014101,14825951,14825951,316.759982907809,364,328,50,738,"free-living","marine","saline_water","estuarine_seawater","Australia",-36.16,139.65,"454"
"mgm4446437",7314787,26039,0.403694275690939,6544720,6544720,251.342985521717,241,225,93,5112,"free-living","marine","saline_water","oceanic_seawater","United Kingdom",23.7803,9.0914,"454"
"mgm4447101",138431458,291400,0.461867575394756,129509074,129509074,444.437453671929,502,485,50,861,"host-associated","terrestrial","human_host-associated","saliva","Spain",39.481448,0.353066,"454"
"mgm4447102",74867241,160712,0.491311526765096,69959472,69959472,435.309572402808,496,480,50,1137,"host-associated","terrestrial","human_host-associated","saliva","Spain",39.481448,0.353066,"454"
"mgm4447103",217269378,458589,0.435324983388555,203164138,203164138,443.020085523203,505,484,50,878,"host-associated","terrestrial","human_host-associated","saliva","Spain",39.481448,0.353066,"454"
"mgm4447447",36118901,79673,0.448617794259317,33739297,33739297,423.47215493329,492,462,50,802,"host-associated","terrestrial","animal_host-associated","animal_feces","USA",42.444015,-76.501893,"454"
"mgm4447449",32936552,73026,0.459037711440234,30756741,30756741,421.175211568482,499,461,50,747,"host-associated","terrestrial","animal_host-associated","animal_feces","USA",42.444015,-76.501893,"454"
"mgm4447810",288788703,1094449,0.594979601203682,254873617,254873617,232.878477663189,250,245,60,6136,"host-associated","terrestrial","plant_associated","rhizosphere","Spain",41.21333,-4.54556,"454"
"mgm4447811",271506879,1024182,0.593881116342268,239839239,239839239,234.176385642396,248,243,60,38489,"host-associated","terrestrial","plant_associated","rhizosphere","Switzerland",47.44083,8.49833,"454"
"mgm4447903",131797758,300604,0.470034333700283,122590049,122590049,407.812434298945,495,451,50,1116,"host-associated","terrestrial","human_host-associated","saliva","Spain",39.481448,0.353066,"454"
"mgm4447943",151863421,333415,0.452495790782984,141638575,141638575,424.811646146694,495,472,50,1080,"host-associated","terrestrial","human_host-associated","saliva","Spain",39.481448,0.353066,"454"
"mgm4447970",29141918,65421,0.559546228285771,27190236,27190236,415.619388269822,507,472,50,1049,"host-associated","terrestrial","human_host-associated","saliva","Spain",39.481448,0.353066,"454"
"mgm4447971",39858162,92869,0.486563975697289,37083105,37083105,399.305527140381,487,443,50,1062,"host-associated","terrestrial","human_host-associated","saliva","Spain",39.481448,0.353066,"454"
"mgm4449103",295161434,660270,0.42839255182041,274803739,274803739,416.199038272222,510,469,50,741,"free-living","marine","saline_water","oceanic_seawater","Bermuda",32.17,-64.5,"454"
"mgm4449104",284560250,627174,0.391329452358665,265228391,265228391,422.894429616024,503,466,50,821,"free-living","marine","saline_water","oceanic_seawater","Bermuda",32.17,-64.5,"454"
"mgm4449589",270274788,442403,0.451191043169942,256671343,256671343,580.175412463297,543,565,50,1200,"free-living","marine","saline_water","coastal_seawater","Italy",44.24,-8.55,"454"
"mgm4449956",425129525,1021284,0.583330196103143,393553100,393553100,385.35128328653,483,416,60,2870,"host-associated","terrestrial","plant_associated","rhizosphere","Philippines",14.1387,121.26159,"454"
