"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","project_id"
"mgm4532453","tropical moist broadleaf forest biome","organ","feces","host-associated",NA,"kj1006_CTTGTA_L002_R1_001","Macroglossus sobrinus metagenome","metagenome","WGS",NA,"Malaysia",5.115146,101.8891721,"mgp5568"
"mgm4532454","tropical moist broadleaf forest biome","organ","feces","host-associated",NA,"kj1006_CTTGTA_L002_R1_002","Macroglossus sobrinus metagenome","metagenome","WGS",NA,"Malaysia",5.115146,101.8891721,"mgp5568"
"mgm4532455","tropical moist broadleaf forest biome","organ","feces","host-associated",NA,"kj1006_CTTGTA_L002_R1_003","Macroglossus sobrinus metagenome","metagenome","WGS",NA,"Malaysia",5.115146,101.8891721,"mgp5568"
"mgm4532456","tropical moist broadleaf forest biome","organ","feces","host-associated",NA,"kj1006_CTTGTA_L002_R2_001","Macroglossus sobrinus metagenome","metagenome","WGS",NA,"Malaysia",5.115146,101.8891721,"mgp5568"
"mgm4532457","tropical moist broadleaf forest biome","organ","feces","host-associated",NA,"kj1006_CTTGTA_L002_R2_002","Macroglossus sobrinus metagenome","metagenome","WGS",NA,"Malaysia",5.115146,101.8891721,"mgp5568"
"mgm4532458","tropical moist broadleaf forest biome","organ","feces","host-associated",NA,"kj1006_CTTGTA_L002_R2_003","Macroglossus sobrinus metagenome","metagenome","WGS",NA,"Malaysia",5.115146,101.8891721,"mgp5568"
"mgm4750411","tropical moist broadleaf forest biome","rhizosphere","rock","soil",NA,"OL_2","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"mgp80870"
"mgm4750538","tropical moist broadleaf forest biome","rhizosphere","rock","soil",NA,"OL_1","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"mgp80870"
"mgm4750539","tropical moist broadleaf forest biome","rhizosphere","rock","soil",NA,"OL_7","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"mgp80870"
"mgm4751389","tropical moist broadleaf forest biome","rhizosphere","rock","soil",NA,"OL_17","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"mgp80870"
"mgm4751392","tropical moist broadleaf forest biome","rhizosphere","rock","soil",NA,"OL_31","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"mgp80870"
"mgm4751395","tropical moist broadleaf forest biome","rhizosphere","rock","soil",NA,"OL_29","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"mgp80870"
"mgm4751396","tropical moist broadleaf forest biome","rhizosphere","rock","soil",NA,"OL_33","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"mgp80870"
"mgm4751576","tropical moist broadleaf forest biome","rhizosphere","rock","soil",NA,"OL_47","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"mgp80870"
"mgm4751577","tropical moist broadleaf forest biome","rhizosphere","rock","soil",NA,"OL_48_","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"mgp80870"
"mgm4751584","tropical moist broadleaf forest biome","rhizosphere","rock","soil",NA,"OL_50","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"mgp80870"
"mgm4751599","tropical moist broadleaf forest biome","rhizosphere","rock","soil",NA,"OL_58","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"mgp80870"
"mgm4751712","tropical moist broadleaf forest biome","rhizosphere","soil","soil",NA,"S_17_","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"mgp80870"
"mgm4751755","tropical moist broadleaf forest biome","rhizosphere","soil","soil",NA,"S_29","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"mgp80870"
"mgm4752317","tropical moist broadleaf forest biome","rhizosphere","soil","soil",NA,"S_33","tropical_forest_soil_weathering","metagenome","WGS",NA,"Panama",9,-73,"mgp80870"
