"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","project_id"
"mgm4530252","marine sponge reef","organism-associated habitat","organic material","host-associated",NA,"Cyn-A","Bbay metagenome","metagenome","WGS","australia","Australia",-33.983333,151.233333,"mgp5369"
"mgm4530253","marine sponge reef","organism-associated habitat","organic material","host-associated",NA,"Cyn-B","Bbay metagenome","metagenome","WGS","australia","Australia",-33.983333,151.233333,"mgp5369"
"mgm4530254","marine sponge reef","organism-associated habitat","organic material","host-associated",NA,"Cyn-C","Bbay metagenome","metagenome","WGS","australia","Australia",-33.983333,151.233333,"mgp5369"
"mgm4530290","marine sponge reef","organism-associated habitat","organic material","host-associated",NA,"Rho-B","Bbay metagenome","metagenome","WGS","australia","Australia",-18.816667,147.633333,"mgp5369"
"mgm4530291","marine sponge reef","organism-associated habitat","organic material","host-associated",NA,"Rho-C","Bbay metagenome","metagenome","WGS","australia","Australia",-18.816667,147.633333,"mgp5369"
"mgm4530370","marine sponge reef","organism-associated habitat","organic material","host-associated",NA,"Sty-A","Bbay metagenome","metagenome","WGS","australia","Australia",-18.816667,147.633333,"mgp5369"
"mgm4530372","marine sponge reef","organism-associated habitat","organic material","host-associated",NA,"Sty-C","Bbay metagenome","metagenome","WGS","australia","Australia",-18.816667,147.633333,"mgp5369"
"mgm4530373","marine sponge reef","organism-associated habitat","organic material","host-associated",NA,"Ted-A","Bbay metagenome","metagenome","WGS","australia","Australia",-33.983333,151.233333,"mgp5369"
"mgm4530427","marine sponge reef","organism-associated habitat","organic material","host-associated",NA,"Cyr-A","Bbay metagenome","metagenome","WGS","australia","Australia",-18.816667,147.633333,"mgp5369"
"mgm4530428","marine sponge reef","organism-associated habitat","organic material","host-associated",NA,"Cyr-B","Bbay metagenome","metagenome","WGS","australia","Australia",-18.816667,147.633333,"mgp5369"
"mgm4530429","marine sponge reef","organism-associated habitat","organic material","host-associated",NA,"Cyr-C","Bbay metagenome","metagenome","WGS","australia","Australia",-18.816667,147.633333,"mgp5369"
"mgm4530430","marine sponge reef","organism-associated habitat","organic material","host-associated",NA,"Sco-A","Bbay metagenome","metagenome","WGS","australia","Australia",-33.983333,151.233333,"mgp5369"
"mgm4530431","marine sponge reef","organism-associated habitat","organic material","host-associated",NA,"Sco-B","Bbay metagenome","metagenome","WGS","australia","Australia",-33.983333,151.233333,"mgp5369"
"mgm4530432","marine sponge reef","organism-associated habitat","organic material","host-associated",NA,"Sco-C","Bbay metagenome","metagenome","WGS","australia","Australia",-33.983333,151.233333,"mgp5369"
