"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","project_id"
"mgm4716389","epeiric sea biome","island arc","sea sand","sediment",NA,"w3","Metagenomics of shallow water hydrothermal vent off Kueishan Island","metagenome","WGS",NA,"Taiwan",24.8342,121.96232,"mgp19574"
"mgm4716390","epeiric sea biome","island arc","sea sand","sediment",NA,"w1","Metagenomics of shallow water hydrothermal vent off Kueishan Island","metagenome","WGS",NA,"Taiwan",24.8342,121.96232,"mgp19574"
"mgm4716391","epeiric sea biome","island arc","sea sand","sediment",NA,"w2","Metagenomics of shallow water hydrothermal vent off Kueishan Island","metagenome","WGS",NA,"Taiwan",24.8342,121.96232,"mgp19574"
