"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","project_id"
"mgm4583642","shrubland biome","field soil","soil","soil",NA,"1(2013)","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4583643","shrubland biome","field soil","soil","soil",NA,"2(2013)","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4583644","shrubland biome","field soil","soil","soil",NA,"3(2013)","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4583645","shrubland biome","field soil","soil","soil",NA,"4(2013)","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4583646","shrubland biome","field soil","soil","soil",NA,"5(2013)","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4583647","shrubland biome","field soil","soil","soil",NA,"6(2013)","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4583648","shrubland biome","field soil","soil","soil",NA,"7(2013)","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4583649","shrubland biome","field soil","soil","soil",NA,"8(2013)","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4584765","shrubland biome","field soil","soil","soil",NA,"10(2013)","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4584766","shrubland biome","field soil","soil","soil",NA,"12(2013)","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4584767","shrubland biome","field soil","soil","soil",NA,"13(2013)","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4584768","shrubland biome","field soil","soil","soil",NA,"14(2013)","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4584769","shrubland biome","field soil","soil","soil",NA,"15(2013)","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4584770","shrubland biome","field soil","soil","soil",NA,"16(2013)","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4584771","shrubland biome","field soil","soil","soil",NA,"9(2013)","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4584873","shrubland biome","field soil","soil","soil",NA,"11(2013)","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717307","shrubland biome","field soil","soil","soil",NA,"3","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717308","shrubland biome","field soil","soil","soil",NA,"23","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717309","shrubland biome","field soil","soil","soil",NA,"33","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717310","shrubland biome","field soil","soil","soil",NA,"16","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717311","shrubland biome","field soil","soil","soil",NA,"36","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717312","shrubland biome","field soil","soil","soil",NA,"24","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717313","shrubland biome","field soil","soil","soil",NA,"32","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717314","shrubland biome","field soil","soil","soil",NA,"44","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717315","shrubland biome","field soil","soil","soil",NA,"35","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717316","shrubland biome","field soil","soil","soil",NA,"21","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717317","shrubland biome","field soil","soil","soil",NA,"38","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717318","shrubland biome","field soil","soil","soil",NA,"10","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717319","shrubland biome","field soil","soil","soil",NA,"20","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717320","shrubland biome","field soil","soil","soil",NA,"26","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717321","shrubland biome","field soil","soil","soil",NA,"18","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717322","shrubland biome","field soil","soil","soil",NA,"12","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717323","shrubland biome","field soil","soil","soil",NA,"27","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717324","shrubland biome","field soil","soil","soil",NA,"14","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717325","shrubland biome","field soil","soil","soil",NA,"30","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717326","shrubland biome","field soil","soil","soil",NA,"34","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717327","shrubland biome","field soil","soil","soil",NA,"15","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717328","shrubland biome","field soil","soil","soil",NA,"29","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717329","shrubland biome","field soil","soil","soil",NA,"42","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717330","shrubland biome","field soil","soil","soil",NA,"17","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717331","shrubland biome","field soil","soil","soil",NA,"41","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
"mgm4717332","shrubland biome","field soil","soil","soil",NA,"48","Santa Margarita Ecological Reserve Soil Metagenomes","metagenome","WGS","north america","USA",33.441135,-117.164465,"mgp10956"
