samples,feature,material,env.package,metagenome_taxonomy,sample_name,project_name,investigation_type,sequence_type,continent,country,latitude,longitude,raw_biome,project_id,life_style,habitat,biosphere,ecosystem
mgm4451033,intertidal zone,estuarine mud,soil,NA,BRMgv-1Clean,Mangroves,metagenome,WGS,NA,Brazil,-23.89694,-46.20778,Mangrove biome,mgp134,free-living,mangrove_sediment,marine,sediment
mgm4451034,intertidal zone,estuarine mud,soil,NA,BRMgv-2Clean,Mangroves,metagenome,WGS,NA,Brazil,-23.90167,-45.25083,Mangrove biome,mgp134,free-living,mangrove_sediment,marine,sediment
mgm4451035,intertidal zone,estuarine mud,soil,NA,BrMgv-3Clean,Mangroves,metagenome,WGS,NA,Brazil,-25.08389,-45.25083,Mangrove biome,mgp134,free-living,mangrove_sediment,marine,sediment
mgm4451036,intertidal zone,estuarine mud,soil,NA,BrMgv-4Clean,Mangroves,metagenome,WGS,NA,Brazil,-25.08389,-47.95056,Mangrove biome,mgp134,free-living,mangrove_sediment,marine,sediment
mgm4485218,intertidal zone,estuarine mud,miscellaneous,NA,PensaRioBaia,Mangrove RJ BA,metagenome,WGS,NA,Brazil,-16.588118,-39.091845,Mangrove biome,mgp6544,free-living,mangrove_sediment,marine,sediment
mgm4485219,intertidal zone,estuarine mud,miscellaneous,NA,PensaRioRio,Mangrove RJ BA,metagenome,WGS,NA,Brazil,-23.169959,-44.283389,Mangrove biome,mgp6544,free-living,mangrove_sediment,marine,sediment
mgm4603270,soil,soil,soil,NA,VirginJungleForest-3,Mining of new genes and pathways from soil of mangrove forest,metagenome,WGS,asia,Malaysia,4.839498,100.6351762,Mangrove biome,mgp11628,free-living,mangrove_sediment,marine,sediment
mgm4603402,soil,soil,soil,NA,ProductiveZone-2,Mining of new genes and pathways from soil of mangrove forest,metagenome,WGS,asia,Malaysia,4.839498,100.6351762,Mangrove biome,mgp11628,free-living,mangrove_sediment,marine,sediment
mgm4625051,soil,soil,soil,NA,VirginJungleForest-3,Mining of new genes and pathways from soil of mangrove forest-2,metagenome,WGS,asia,Malaysia,4.839498,100.6351762,Mangrove biome,mgp13099,free-living,mangrove_sediment,marine,sediment
mgm4625350,soil,soil,soil,NA,ProductiveZone-2,Mining of new genes and pathways from soil of mangrove forest-2,metagenome,WGS,asia,Malaysia,4.839498,100.6351762,Mangrove biome,mgp13099,free-living,mangrove_sediment,marine,sediment
mgm4627134,forest,sediment,miscellaneous,NA,BertAvi4,Mangrove Litter Decomposition_Metagenome,metagenome,WGS,NA,Brazil,-23.9016667,-45.2508333,Mangrove biome,mgp13300,free-living,mangrove_sediment,marine,sediment
mgm4627135,forest,sediment,miscellaneous,NA,BertRhi3,Mangrove Litter Decomposition_Metagenome,metagenome,WGS,NA,Brazil,-23.9016667,-45.2508333,Mangrove biome,mgp13300,free-living,mangrove_sediment,marine,sediment
