"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem"
"mgm4477804","slope","bulk soil","soil",NA,"KP1_r1","cross-site soil metagen","metagenome","WGS",NA,"USA",39.1,-96.6,"temperate grasslands, savannas, and shrubland biome","mgp2997","free-living","savanna_soil","terrestrial","soil"
"mgm4637196","subterrestrial habitat","leptosol","soil",NA,"ITH13Kan1.fna","NEWbio microbioal diversity of soil samples from biofuel crop plantation site","metagenome","WGS",NA,"USA",42.4439614,-76.5018807,"temperate grasslands, savannas, and shrubland biome","mgp13884","free-living","savanna_soil","terrestrial","soil"
"mgm4637198","subterrestrial habitat","leptosol","soil",NA,"ITH14CIR.fna","NEWbio microbioal diversity of soil samples from biofuel crop plantation site","metagenome","WGS",NA,"USA",42.4439614,-76.5018807,"temperate grasslands, savannas, and shrubland biome","mgp13884","free-living","savanna_soil","terrestrial","soil"
"mgm4637199","subterrestrial habitat","leptosol","soil",NA,"ITH14Carth1.fna","NEWbio microbioal diversity of soil samples from biofuel crop plantation site","metagenome","WGS",NA,"USA",42.4439614,-76.5018807,"temperate grasslands, savannas, and shrubland biome","mgp13884","free-living","savanna_soil","terrestrial","soil"
"mgm4670116","soil","soil","soil",NA,"UHE_uncut","Ungulate Exclosure 2015","metagenome","WGS","north america","USA",48.3,-110.660555555556,"temperate grasslands, savannas, and shrubland biome","mgp15600","free-living","savanna_soil","terrestrial","soil"
"mgm4670117","soil","soil","soil",NA,"MBE_uncut","Ungulate Exclosure 2015","metagenome","WGS","north america","USA",43.5144444444444,-110.711666666667,"temperate grasslands, savannas, and shrubland biome","mgp15600","free-living","savanna_soil","terrestrial","soil"
"mgm4670118","soil","soil","soil",NA,"LHE_uncut","Ungulate Exclosure 2015","metagenome","WGS","north america","USA",43.2958333333333,-110.6575,"temperate grasslands, savannas, and shrubland biome","mgp15600","free-living","savanna_soil","terrestrial","soil"
"mgm4670119","soil","soil","soil",NA,"MB_uncut","Ungulate Exclosure 2015","metagenome","WGS","north america","USA",43.5144444444444,-110.711666666667,"temperate grasslands, savannas, and shrubland biome","mgp15600","free-living","savanna_soil","terrestrial","soil"
"mgm4670120","soil","soil","soil",NA,"GVE_uncut","Ungulate Exclosure 2015","metagenome","WGS","north america","USA",43.5694444444444,-110.311111111111,"temperate grasslands, savannas, and shrubland biome","mgp15600","free-living","savanna_soil","terrestrial","soil"
"mgm4670121","soil","soil","soil",NA,"LH_uncut","Ungulate Exclosure 2015","metagenome","WGS","north america","USA",43.2958333333333,-110.6575,"temperate grasslands, savannas, and shrubland biome","mgp15600","free-living","savanna_soil","terrestrial","soil"
"mgm4670122","soil","soil","soil",NA,"UH_uncut","Ungulate Exclosure 2015","metagenome","WGS","north america","USA",48.3,-110.660555555556,"temperate grasslands, savannas, and shrubland biome","mgp15600","free-living","savanna_soil","terrestrial","soil"
"mgm4670123","soil","soil","soil",NA,"GV_uncut","Ungulate Exclosure 2015","metagenome","WGS","north america","USA",43.5694444444444,-110.311111111111,"temperate grasslands, savannas, and shrubland biome","mgp15600","free-living","savanna_soil","terrestrial","soil"
