"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","PI_lastname","seq_method","biosphere","ecosystem"
"mgm4451033","intertidal zone","estuarine mud","soil",NA,"BRMgv-1Clean","Mangroves","metagenome","WGS",NA,"Brazil",-23.89694,-46.20778,"mangrove biome","mgp134","free-living","mangrove_sediment","andreote","454","marine","sediment"
"mgm4451034","intertidal zone","estuarine mud","soil",NA,"BRMgv-2Clean","Mangroves","metagenome","WGS",NA,"Brazil",-23.90167,-45.25083,"mangrove biome","mgp134","free-living","mangrove_sediment","andreote","454","marine","sediment"
"mgm4451035","intertidal zone","estuarine mud","soil",NA,"BrMgv-3Clean","Mangroves","metagenome","WGS",NA,"Brazil",-25.08389,-45.25083,"mangrove biome","mgp134","free-living","mangrove_sediment","andreote","454","marine","sediment"
"mgm4451036","intertidal zone","estuarine mud","soil",NA,"BrMgv-4Clean","Mangroves","metagenome","WGS",NA,"Brazil",-25.08389,-47.95056,"mangrove biome","mgp134","free-living","mangrove_sediment","andreote","454","marine","sediment"
"mgm4485218","intertidal zone","estuarine mud","miscellaneous",NA,"PensaRioBaia","Mangrove RJ BA","metagenome","WGS",NA,"Brazil",-16.588118,-39.091845,"mangrove biome","mgp6544","free-living","mangrove_sediment","ribeiro de vasconcelos","454","marine","sediment"
"mgm4485219","intertidal zone","estuarine mud","miscellaneous",NA,"PensaRioRio","Mangrove RJ BA","metagenome","WGS",NA,"Brazil",-23.169959,-44.283389,"mangrove biome","mgp6544","free-living","mangrove_sediment","ribeiro de vasconcelos","454","marine","sediment"
"mgm4506447","bulk soil","soil","sediment",NA,"Control Sample 01","Mangrove Control","metagenome","WGS","asia","Saudi Arabia",22.5091666666666,39.1947222222222,"mangrove biome","mgp2563","free-living","mangrove_sediment","archer","454","marine","sediment"
"mgm4506448","bulk soil","soil","sediment",NA,"Control Sample 02","Mangrove Control","metagenome","WGS","asia","Saudi Arabia",22.4977777777777,39.1947222222222,"mangrove biome","mgp2563","free-living","mangrove_sediment","archer","454","marine","sediment"
"mgm4523017","rhizosphere","soil","sediment",NA,"RSMgr01","Mangrove","metagenome","WGS","asia","Saudi Arabia",22.3191666666666,39.2066666666666,"mangrove biome","mgp4530","free-living","rhizosphere","archer","454","terrestrial","soil"
"mgm4523018","rhizosphere","soil","sediment",NA,"RSMgr02","Mangrove","metagenome","WGS","asia","Saudi Arabia",22.5005555555555,39.2116666666666,"mangrove biome","mgp4530","free-living","rhizosphere","archer","454","terrestrial","soil"
"mgm4523019","rhizosphere","soil","sediment",NA,"RSMgr03","Mangrove","metagenome","WGS","asia","Saudi Arabia",22.3466666666666,39.2083333333333,"mangrove biome","mgp4530","free-living","rhizosphere","archer","454","terrestrial","soil"
"mgm4523020","rhizosphere","soil","sediment",NA,"RSMgr04","Mangrove","metagenome","WGS","asia","Saudi Arabia",22.3536111111111,39.2080555555555,"mangrove biome","mgp4530","free-living","rhizosphere","archer","454","terrestrial","soil"
"mgm4535147","biotic mesoscopic physical object","soil","soil",NA,"t0 control","Rhizosphere_BAM","metagenome","WGS",NA,"Germany",52.3594201,13.3089427,"mangrove biome","mgp5849","free-living","mangrove_sediment","kroeber","illumina","marine","sediment"
"mgm4535148","biotic mesoscopic physical object","soil","soil",NA,"t0 inoculated","Rhizosphere_BAM","metagenome","WGS",NA,"Germany",52.3594201,13.3089427,"mangrove biome","mgp5849","free-living","mangrove_sediment","kroeber","illumina","marine","sediment"
"mgm4535149","biotic mesoscopic physical object","soil","soil",NA,"t1_control","Rhizosphere_BAM","metagenome","WGS",NA,"Germany",52.3594201,13.3089427,"mangrove biome","mgp5849","free-living","mangrove_sediment","kroeber","illumina","marine","sediment"
