"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","PI_lastname","seq_method","biosphere","ecosystem"
"mgm4465556","Forest","mountain forest soil","soil",NA,"UOF_454","Fire at Holm-Oak Rhizosphere","metagenome","WGS","europe","Spain",36.96971,-3.46027,"mediterranean forests, woodlands, and shrub biome","mgp3608","free-living","forest_soil","fernandez-lopez","454","terrestrial","soil"
"mgm4465558","Forest","mountain forest soil","soil",NA,"BOF_454","Fire at Holm-Oak Rhizosphere","metagenome","WGS","europe","Spain",36.95744,-3.46336,"mediterranean forests, woodlands, and shrub biome","mgp3608","free-living","forest_soil","fernandez-lopez","454","terrestrial","soil"
"mgm4537095","alkaline habitat","travertine","water",NA,"DCO_BRZ_BR2_L002_paired_003","Microbial Biogeography of Serpentinites","metagenome","WGS",NA,"Italy",44.4512,8.782,"mediterranean forests, woodlands, and shrub biome","mgp6096","free-living","alkaline_environment","brazelton","illumina","freshwater","freshwater"
"mgm4537096","alkaline habitat","travertine","water",NA,"DCO_BRZ_BR2_L002_paired_001","Microbial Biogeography of Serpentinites","metagenome","WGS",NA,"Italy",44.4512,8.782,"mediterranean forests, woodlands, and shrub biome","mgp6096","free-living","alkaline_environment","brazelton","illumina","freshwater","freshwater"
"mgm4537097","alkaline habitat","travertine","water",NA,"DCO_BRZ_BR2_L002_paired_002","Microbial Biogeography of Serpentinites","metagenome","WGS",NA,"Italy",44.4512,8.782,"mediterranean forests, woodlands, and shrub biome","mgp6096","free-living","alkaline_environment","brazelton","illumina","freshwater","freshwater"
"mgm4537099","alkaline habitat","travertine","water",NA,"DCO_BRZ_BR2_L007_paired_002","Microbial Biogeography of Serpentinites","metagenome","WGS",NA,"Italy",44.4512,8.782,"mediterranean forests, woodlands, and shrub biome","mgp6096","free-living","alkaline_environment","brazelton","illumina","freshwater","freshwater"
"mgm4537863","alkaline habitat","travertine","water",NA,"DCO_BRZ_LIG_BR2_2012","Microbial Biogeography of Serpentinites","metagenome","WGS",NA,"Italy",44.4512,8.782,"mediterranean forests, woodlands, and shrub biome","mgp6096","free-living","alkaline_environment","brazelton","illumina","freshwater","freshwater"
"mgm4537864","alkaline habitat","travertine","water",NA,"DCO_BRZ_LIG_BR2_back_A1_2012","Microbial Biogeography of Serpentinites","metagenome","WGS",NA,"Italy",44.4512,8.782,"mediterranean forests, woodlands, and shrub biome","mgp6096","free-living","alkaline_environment","brazelton","illumina","freshwater","freshwater"
"mgm4537868","alkaline habitat","travertine","water",NA,"DCO_BRZ_LIG_GOR3AB_2012","Microbial Biogeography of Serpentinites","metagenome","WGS",NA,"Italy",44.597,8.7833,"mediterranean forests, woodlands, and shrub biome","mgp6096","free-living","alkaline_environment","brazelton","illumina","freshwater","freshwater"
"mgm4537869","alkaline habitat","travertine","water",NA,"DCO_BRZ_LIG_GOR_up_A1_2012","Microbial Biogeography of Serpentinites","metagenome","WGS",NA,"Italy",44.597,8.7833,"mediterranean forests, woodlands, and shrub biome","mgp6096","free-living","alkaline_environment","brazelton","illumina","freshwater","freshwater"
"mgm4545477","alkaline habitat","travertine","water",NA,"LIG_BR2_2013","Microbial Biogeography of Serpentinites","metagenome","WGS",NA,"Italy",44.4512,8.782,"mediterranean forests, woodlands, and shrub biome","mgp6096","free-living","alkaline_environment","brazelton","illumina","freshwater","freshwater"
"mgm4545478","alkaline habitat","travertine","water",NA,"LIG_BR2upA_2013","Microbial Biogeography of Serpentinites","metagenome","WGS",NA,"Italy",44.4512,8.782,"mediterranean forests, woodlands, and shrub biome","mgp6096","free-living","alkaline_environment","brazelton","illumina","freshwater","freshwater"
"mgm4545480","alkaline habitat","travertine","water",NA,"LIG_GOR1CDEF_2013","Microbial Biogeography of Serpentinites","metagenome","WGS",NA,"Italy",44.597,8.7833,"mediterranean forests, woodlands, and shrub biome","mgp6096","free-living","alkaline_environment","brazelton","illumina","freshwater","freshwater"
