"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","PI_lastname","seq_method","biosphere","ecosystem"
"mgm4449249","meadow soil","bulk soil","soil",NA,"1_8_RL1","Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients","metagenome","WGS",NA,"USA",45.39926,-93.26529,"grassland biome","mgp4745","free-living","meadow_soil","fierer","454","terrestrial","soil"
"mgm4449252","meadow soil","bulk soil","soil",NA,"1_17_RL2","Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients","metagenome","WGS",NA,"USA",45.39926,-93.26529,"grassland biome","mgp4745","free-living","meadow_soil","fierer","454","terrestrial","soil"
"mgm4449255","meadow soil","bulk soil","soil",NA,"1_22_RL3","Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients","metagenome","WGS",NA,"USA",45.39926,-93.26529,"grassland biome","mgp4745","free-living","meadow_soil","fierer","454","terrestrial","soil"
"mgm4449256","meadow soil","bulk soil","soil",NA,"1_23_RL4","Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients","metagenome","WGS",NA,"USA",45.39926,-93.26529,"grassland biome","mgp4745","free-living","meadow_soil","fierer","454","terrestrial","soil"
"mgm4449258","meadow soil","bulk soil","soil",NA,"1_38_RL5","Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients","metagenome","WGS",NA,"USA",45.39926,-93.26529,"grassland biome","mgp4745","free-living","meadow_soil","fierer","454","terrestrial","soil"
"mgm4449284","meadow soil","bulk soil","soil",NA,"1_52_RL8","Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients","metagenome","WGS",NA,"USA",45.39926,-93.26529,"grassland biome","mgp4745","free-living","meadow_soil","fierer","454","terrestrial","soil"
"mgm4449356","meadow soil","bulk soil","soil",NA,"2_201_RL1","Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients","metagenome","WGS",NA,"USA",42.44158,-85.3760899999999,"grassland biome","mgp4745","free-living","meadow_soil","fierer","454","terrestrial","soil"
"mgm4449357","meadow soil","bulk soil","soil",NA,"1_45_RL7","Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients","metagenome","WGS",NA,"USA",45.39926,-93.26529,"grassland biome","mgp4745","free-living","meadow_soil","fierer","454","terrestrial","soil"
"mgm4449358","meadow soil","bulk soil","soil",NA,"2_204_RL2","Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients","metagenome","WGS",NA,"USA",42.44158,-85.3760899999999,"grassland biome","mgp4745","free-living","meadow_soil","fierer","454","terrestrial","soil"
"mgm4449359","meadow soil","bulk soil","soil",NA,"2_209_RL3","Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients","metagenome","WGS",NA,"USA",42.44158,-85.3760899999999,"grassland biome","mgp4745","free-living","meadow_soil","fierer","454","terrestrial","soil"
"mgm4449360","meadow soil","bulk soil","soil",NA,"2_301_RL4","Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients","metagenome","WGS",NA,"USA",42.44158,-85.3760899999999,"grassland biome","mgp4745","free-living","meadow_soil","fierer","454","terrestrial","soil"
"mgm4449362","meadow soil","bulk soil","soil",NA,"2_309_RL6","Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients","metagenome","WGS",NA,"USA",42.44158,-85.3760899999999,"grassland biome","mgp4745","free-living","meadow_soil","fierer","454","terrestrial","soil"
"mgm4449363","meadow soil","bulk soil","soil",NA,"2_401_RL7","Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients","metagenome","WGS",NA,"USA",42.44158,-85.3760899999999,"grassland biome","mgp4745","free-living","meadow_soil","fierer","454","terrestrial","soil"
"mgm4449364","meadow soil","bulk soil","soil",NA,"2_404_RL8","Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients","metagenome","WGS",NA,"USA",42.44158,-85.3760899999999,"grassland biome","mgp4745","free-living","meadow_soil","fierer","454","terrestrial","soil"
"mgm4449365","meadow soil","bulk soil","soil",NA,"2_409_RL9","Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients","metagenome","WGS",NA,"USA",42.44158,-85.3760899999999,"grassland biome","mgp4745","free-living","meadow_soil","fierer","454","terrestrial","soil"
"mgm4449877","meadow soil","bulk soil","soil",NA,"1_54_RL9","Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients","metagenome","WGS",NA,"USA",45.39926,-93.26529,"grassland biome","mgp4745","free-living","meadow_soil","fierer","454","terrestrial","soil"
"mgm4539063","grassland","bulk soil","soil",NA,"CC10_min_Jun13","CedarCreek_minsoil_June2013","metagenome","WGS",NA,"USA",45.4026492,-93.2020664,"grassland biome","mgp5588","free-living","grassland","zak","illumina","terrestrial","soil"
"mgm4539064","grassland","bulk soil","soil",NA,"CC35_min_Jun13","CedarCreek_minsoil_June2013","metagenome","WGS",NA,"USA",45.4026492,-93.2020664,"grassland biome","mgp5588","free-living","grassland","zak","illumina","terrestrial","soil"
"mgm4541641","grassland","bulk soil","soil",NA,"CC04_min_Jun13","CedarCreek_minsoil_June2013","metagenome","WGS",NA,"USA",45.4026492,-93.2020664,"grassland biome","mgp5588","free-living","grassland","zak","illumina","terrestrial","soil"
"mgm4541642","grassland","bulk soil","soil",NA,"CC28_min_Jun13","CedarCreek_minsoil_June2013","metagenome","WGS",NA,"USA",45.4026492,-93.2020664,"grassland biome","mgp5588","free-living","grassland","zak","illumina","terrestrial","soil"
"mgm4541644","grassland","bulk soil","soil",NA,"CC39_min_Jun13","CedarCreek_minsoil_June2013","metagenome","WGS",NA,"USA",45.4026492,-93.2020664,"grassland biome","mgp5588","free-living","grassland","zak","illumina","terrestrial","soil"
"mgm4541645","grassland","bulk soil","soil",NA,"CC41_min_Jun13","CedarCreek_minsoil_June2013","metagenome","WGS",NA,"USA",45.4026492,-93.2020664,"grassland biome","mgp5588","free-living","grassland","zak","illumina","terrestrial","soil"
"mgm4541646","grassland","bulk soil","soil",NA,"CC53_min_Jun13","CedarCreek_minsoil_June2013","metagenome","WGS",NA,"USA",45.4026492,-93.2020664,"grassland biome","mgp5588","free-living","grassland","zak","illumina","terrestrial","soil"
"mgm4541647","grassland","bulk soil","soil",NA,"CC72_min_Jun13","CedarCreek_minsoil_June2013","metagenome","WGS",NA,"USA",45.4026492,-93.2020664,"grassland biome","mgp5588","free-living","grassland","zak","illumina","terrestrial","soil"
"mgm4541648","grassland","bulk soil","soil",NA,"CC77_min_Jun13","CedarCreek_minsoil_June2013","metagenome","WGS",NA,"USA",45.4026492,-93.2020664,"grassland biome","mgp5588","free-living","grassland","zak","illumina","terrestrial","soil"
"mgm4541649","grassland","bulk soil","soil",NA,"CCNH_min_Jun13","CedarCreek_minsoil_June2013","metagenome","WGS",NA,"USA",45.4026492,-93.2020664,"grassland biome","mgp5588","free-living","grassland","zak","illumina","terrestrial","soil"
"mgm4541650","grassland","bulk soil","soil",NA,"CCOS_min_Jun13","CedarCreek_minsoil_June2013","metagenome","WGS",NA,"USA",45.4026492,-93.2020664,"grassland biome","mgp5588","free-living","grassland","zak","illumina","terrestrial","soil"
"mgm4541651","grassland","bulk soil","soil",NA,"CCUPO_min_Jun13","CedarCreek_minsoil_June2013","metagenome","WGS",NA,"USA",45.4026492,-93.2020664,"grassland biome","mgp5588","free-living","grassland","zak","illumina","terrestrial","soil"
