"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","PI_lastname","seq_method","biosphere","ecosystem"
"mgm4526721","mammalia-associated habitat","feces","host-associated",NA,"RightWhale.F16.MG.2","Atlantic Right Whale metagenome","metagenome","WGS","north america","Atlantic Ocean",44,-66,"marine biome","mgp3854","host-associated","animal_feces","girguis","illumina","terrestrial","animal_host-associated"
"mgm4526722","mammalia-associated habitat","feces","host-associated",NA,"RightWhale.F9.MG.2","Atlantic Right Whale metagenome","metagenome","WGS","north america","Atlantic Ocean",44,-66,"marine biome","mgp3854","host-associated","animal_feces","girguis","illumina","terrestrial","animal_host-associated"
"mgm4526723","mammalia-associated habitat","feces","host-associated",NA,"HumpbackWhale.JS10.MG.2","Atlantic Right Whale metagenome","metagenome","WGS","north america","Pacific Ocean",56.9,-135.6,"marine biome","mgp3854","host-associated","animal_feces","girguis","illumina","terrestrial","animal_host-associated"
"mgm4526724","mammalia-associated habitat","feces","host-associated",NA,"BottlenoseDolphin.JS13.MG.2","Atlantic Right Whale metagenome","metagenome","WGS","north america","USA",36.948,-122.065,"marine biome","mgp3854","host-associated","animal_feces","girguis","illumina","terrestrial","animal_host-associated"
"mgm4526725","mammalia-associated habitat","feces","host-associated",NA,"BelugaWhale.JS17.MG.2","Atlantic Right Whale metagenome","metagenome","WGS","north america","USA",41.373,-71.952,"marine biome","mgp3854","host-associated","animal_feces","girguis","illumina","terrestrial","animal_host-associated"
"mgm4531574","aquatic habitat","Water","water",NA,"POWWOW_PERFECT-pair-end","POWOW","metagenome","WGS",NA,"Pacific Ocean",25.2660833333333,-134.887738333333,"marine biome","mgp5464","free-living","oceanic_seawater","post","illumina","marine","saline_water"
"mgm4548349","tidal pool","sediment","microbial mat|biofilm",NA,"1-paired","MaCuMBA","metagenome","WGS",NA,"Netherlands",53.4785962,6.1560311,"marine biome","mgp7332","free-living","coastal_marine_sediment","stal","illumina","marine","sediment"
"mgm4548350","tidal pool","sediment","microbial mat|biofilm",NA,"2-paired","MaCuMBA","metagenome","WGS",NA,"Netherlands",53.4785962,6.1560311,"marine biome","mgp7332","free-living","coastal_marine_sediment","stal","illumina","marine","sediment"
"mgm4566339","saline evaporation pond","saline water","water",NA,"kbase.contigs","project_kbase","metagenome","WGS",NA,"USA",0,0,"marine biome","mgp9441","free-living","saline_evaporation_pond","howe","illumina","marine","saline_water"
"mgm4572122","tidal pool","sediment","microbial mat|biofilm",NA,"Actinomm","LucasStal-mats-gradient","metagenome","WGS",NA,"Netherlands",53.490833,6.142483,"marine biome","mgp10047","free-living","coastal_marine_sediment","stal","illumina","marine","sediment"
"mgm4572123","tidal pool","sediment","microbial mat|biofilm",NA,"LB18","LucasStal-mats-gradient","metagenome","WGS",NA,"Netherlands",53.492183,6.139967,"marine biome","mgp10047","free-living","coastal_marine_sediment","stal","illumina","marine","sediment"
"mgm4572197","tidal pool","sediment","microbial mat|biofilm",NA,"Actinos8-join","LucasStal-mats-gradient","metagenome","WGS",NA,"Netherlands",53.490833,6.142483,"marine biome","mgp10047","free-living","coastal_marine_sediment","stal","illumina","marine","sediment"
"mgm4572198","tidal pool","sediment","microbial mat|biofilm",NA,"S1-join","LucasStal-mats-gradient","metagenome","WGS",NA,"Netherlands",53.492183,6.139967,"marine biome","mgp10047","free-living","coastal_marine_sediment","stal","illumina","marine","sediment"
"mgm4572199","tidal pool","sediment","microbial mat|biofilm",NA,"TSB-join","LucasStal-mats-gradient","metagenome","WGS",NA,"Netherlands",53.490267,6.144433,"marine biome","mgp10047","free-living","coastal_marine_sediment","stal","illumina","marine","sediment"
"mgm4664706","saline evaporation pond","saline water","water",NA,"Bac_500bp_100000_1","meta-analysis","metagenome","WGS",NA,"China",40.13,116.65,"marine biome","mgp15006","free-living","saline_evaporation_pond","jin","illumina","marine","saline_water"
"mgm4718936","hydrothermal vent","sediment","sediment",NA,"RB35","Archaeal and Bacterial diversity and function in hydrothermal influenced sediments from two distinct deep-sea vent fields of the Azores","metagenome","WGS","europe","Portugal",36.230908,-33.904467,"marine biome","mgp20053","free-living","hydrothermal_vent","cerqueira","illumina","marine","saline_water"
"mgm4718937","hydrothermal vent","sediment","sediment",NA,"MG35","Archaeal and Bacterial diversity and function in hydrothermal influenced sediments from two distinct deep-sea vent fields of the Azores","metagenome","WGS","europe","Portugal",37.8445,-31.519255,"marine biome","mgp20053","free-living","hydrothermal_vent","cerqueira","illumina","marine","saline_water"
