"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","PI_lastname","seq_method","biosphere","ecosystem"
"mgm4441347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no_biome","mgp2321","free-living","alkaline_salt_lake","souza","454","marine","saline_water"
"mgm4445126",NA,NA,NA,NA,NA,"Polar Micorboial Mats",NA,"WGS",NA,NA,NA,NA,"no_biome","mgp2964","free-living","coastal_marine_sediment","lovejoy","454","marine","sediment"
"mgm4445129",NA,NA,NA,NA,NA,"Polar Micorboial Mats",NA,"WGS",NA,NA,NA,NA,"no_biome","mgp2964","free-living","coastal_marine_sediment","lovejoy","454","marine","sediment"
"mgm4448044",NA,NA,"human-gut",NA,"BGIgutGeneSet","Human Gut Microbial Metagenome","metagenome","WGS","europe",NA,NA,NA,"no_biome","mgp60",NA,NA,"Wang","illumina",NA,NA
