"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","PI_lastname","seq_method","biosphere","ecosystem"
"mgm4511045","meadow","soil","soil",NA,"Ap10RXA_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511046","meadow","soil","soil",NA,"Ap10RXB_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511047","meadow","soil","soil",NA,"Ap10XNA_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511048","meadow","soil","soil",NA,"Ap10XNB_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511049","meadow","soil","soil",NA,"Ap10XXA_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511050","meadow","soil","soil",NA,"Ap10XXB_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511063","meadow","soil","soil",NA,"Au10XNA_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511064","meadow","soil","soil",NA,"Au10XNB_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511065","meadow","soil","soil",NA,"Au10XXB_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511111","meadow","soil","soil",NA,"D10XXB","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511113","meadow","soil","soil",NA,"D10RXB_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511114","meadow","soil","soil",NA,"D10XNA_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511116","meadow","soil","soil",NA,"D10XXA_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511135","meadow","soil","soil",NA,"F11_XNB","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511136","meadow","soil","soil",NA,"F11_XXA","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511137","meadow","soil","soil",NA,"F11RXA_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511138","meadow","soil","soil",NA,"F11RXB_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
