"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","PI_lastname","seq_method","biosphere","ecosystem"
"mgm4530252","organism-associated habitat","organic material","host-associated",NA,"Cyn-A","Bbay metagenome","metagenome","WGS","australia","Australia",-33.983333,151.233333,"marine sponge reef","mgp5369","host-associated","sponge","Thompson","454","marine","animal_host-associated"
"mgm4530253","organism-associated habitat","organic material","host-associated",NA,"Cyn-B","Bbay metagenome","metagenome","WGS","australia","Australia",-33.983333,151.233333,"marine sponge reef","mgp5369","host-associated","sponge","Thompson","454","marine","animal_host-associated"
"mgm4530254","organism-associated habitat","organic material","host-associated",NA,"Cyn-C","Bbay metagenome","metagenome","WGS","australia","Australia",-33.983333,151.233333,"marine sponge reef","mgp5369","host-associated","sponge","Thompson","454","marine","animal_host-associated"
"mgm4530290","organism-associated habitat","organic material","host-associated",NA,"Rho-B","Bbay metagenome","metagenome","WGS","australia","Australia",-18.816667,147.633333,"marine sponge reef","mgp5369","host-associated","sponge","Thompson","454","marine","animal_host-associated"
"mgm4530291","organism-associated habitat","organic material","host-associated",NA,"Rho-C","Bbay metagenome","metagenome","WGS","australia","Australia",-18.816667,147.633333,"marine sponge reef","mgp5369","host-associated","sponge","Thompson","454","marine","animal_host-associated"
"mgm4530370","organism-associated habitat","organic material","host-associated",NA,"Sty-A","Bbay metagenome","metagenome","WGS","australia","Australia",-18.816667,147.633333,"marine sponge reef","mgp5369","host-associated","sponge","Thompson","454","marine","animal_host-associated"
"mgm4530372","organism-associated habitat","organic material","host-associated",NA,"Sty-C","Bbay metagenome","metagenome","WGS","australia","Australia",-18.816667,147.633333,"marine sponge reef","mgp5369","host-associated","sponge","Thompson","454","marine","animal_host-associated"
"mgm4530373","organism-associated habitat","organic material","host-associated",NA,"Ted-A","Bbay metagenome","metagenome","WGS","australia","Australia",-33.983333,151.233333,"marine sponge reef","mgp5369","host-associated","sponge","Thompson","454","marine","animal_host-associated"
"mgm4530427","organism-associated habitat","organic material","host-associated",NA,"Cyr-A","Bbay metagenome","metagenome","WGS","australia","Australia",-18.816667,147.633333,"marine sponge reef","mgp5369","host-associated","sponge","Thompson","454","marine","animal_host-associated"
"mgm4530428","organism-associated habitat","organic material","host-associated",NA,"Cyr-B","Bbay metagenome","metagenome","WGS","australia","Australia",-18.816667,147.633333,"marine sponge reef","mgp5369","host-associated","sponge","Thompson","454","marine","animal_host-associated"
"mgm4530429","organism-associated habitat","organic material","host-associated",NA,"Cyr-C","Bbay metagenome","metagenome","WGS","australia","Australia",-18.816667,147.633333,"marine sponge reef","mgp5369","host-associated","sponge","Thompson","454","marine","animal_host-associated"
"mgm4530430","organism-associated habitat","organic material","host-associated",NA,"Sco-A","Bbay metagenome","metagenome","WGS","australia","Australia",-33.983333,151.233333,"marine sponge reef","mgp5369","host-associated","sponge","Thompson","454","marine","animal_host-associated"
"mgm4530431","organism-associated habitat","organic material","host-associated",NA,"Sco-B","Bbay metagenome","metagenome","WGS","australia","Australia",-33.983333,151.233333,"marine sponge reef","mgp5369","host-associated","sponge","Thompson","454","marine","animal_host-associated"
"mgm4530432","organism-associated habitat","organic material","host-associated",NA,"Sco-C","Bbay metagenome","metagenome","WGS","australia","Australia",-33.983333,151.233333,"marine sponge reef","mgp5369","host-associated","sponge","Thompson","454","marine","animal_host-associated"
