"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","PI_lastname","seq_method","biosphere","ecosystem"
"mgm4461341","feces","feces","host-associated",NA,"AfElphSD3.MG","muegge_mammals_paper_mammal_samples_MG","metagenome","WGS","north_america","United States of America",32.736585,-117.151475,"feces","mgp116","host-associated","animal_feces","Gordon","454","terrestrial","animal_host-associated"
"mgm4461342","feces","feces","host-associated",NA,"Armadillo.MG","muegge_mammals_paper_mammal_samples_MG","metagenome","WGS","north_america","United States of America",38.633556,-90.29137,"feces","mgp116","host-associated","animal_feces","Gordon","454","terrestrial","animal_host-associated"
"mgm4461343","feces","feces","host-associated",NA,"BaboonSTL.MG","muegge_mammals_paper_mammal_samples_MG","metagenome","WGS","north_america","United States of America",38.633556,-90.29137,"feces","mgp116","host-associated","animal_feces","Gordon","454","terrestrial","animal_host-associated"
"mgm4461344","feces","feces","host-associated",NA,"BaboonW.MG","muegge_mammals_paper_mammal_samples_MG","metagenome","WGS","africa","Namibia",18.49041,-117.151475,"feces","mgp116","host-associated","animal_feces","Gordon","454","terrestrial","animal_host-associated"
"mgm4461345","feces","feces","host-associated",NA,"BigHornSD.MG","muegge_mammals_paper_mammal_samples_MG","metagenome","WGS","north_america","United States of America",32.736585,-117.151475,"feces","mgp116","host-associated","animal_feces","Gordon","454","terrestrial","animal_host-associated"
"mgm4461346","feces","feces","host-associated",NA,"BigHornW3.MG","muegge_mammals_paper_mammal_samples_MG","metagenome","WGS","north_america","United States of America",39.55005,-105.782067,"feces","mgp116","host-associated","animal_feces","Gordon","454","terrestrial","animal_host-associated"
"mgm4461347","feces","feces","host-associated",NA,"BlackBr2.MG","muegge_mammals_paper_mammal_samples_MG","metagenome","WGS","north_america","United States of America",38.633556,-90.29137,"feces","mgp116","host-associated","animal_feces","Gordon","454","terrestrial","animal_host-associated"
"mgm4461348","feces","feces","host-associated",NA,"BlackLemur.MG","muegge_mammals_paper_mammal_samples_MG","metagenome","WGS","north_america","United States of America",38.633556,-90.29137,"feces","mgp116","host-associated","animal_feces","Gordon","454","terrestrial","animal_host-associated"
"mgm4461349","feces","feces","host-associated",NA,"BlackRhino1.MG","muegge_mammals_paper_mammal_samples_MG","metagenome","WGS","north_america","United States of America",38.633556,-90.29137,"feces","mgp116","host-associated","animal_feces","Gordon","454","terrestrial","animal_host-associated"
"mgm4461350","feces","feces","host-associated",NA,"BushDog1.MG","muegge_mammals_paper_mammal_samples_MG","metagenome","WGS","north_america","United States of America",38.633556,-90.29137,"feces","mgp116","host-associated","animal_feces","Gordon","454","terrestrial","animal_host-associated"
"mgm4461351","feces","feces","host-associated",NA,"Callimicos.MG","muegge_mammals_paper_mammal_samples_MG","metagenome","WGS","north_america","United States of America",38.633556,-90.29137,"feces","mgp116","host-associated","animal_feces","Gordon","454","terrestrial","animal_host-associated"
"mgm4461352","feces","feces","host-associated",NA,"Capybara.MG","muegge_mammals_paper_mammal_samples_MG","metagenome","WGS","north_america","United States of America",38.633556,-90.29137,"feces","mgp116","host-associated","animal_feces","Gordon","454","terrestrial","animal_host-associated"
"mgm4461353","feces","feces","host-associated",NA,"Chimp1.MG","muegge_mammals_paper_mammal_samples_MG","metagenome","WGS","north_america","United States of America",38.633556,-90.29137,"feces","mgp116","host-associated","animal_feces","Gordon","454","terrestrial","animal_host-associated"
"mgm4461354","feces","feces","host-associated",NA,"Chimp2.MG","muegge_mammals_paper_mammal_samples_MG","metagenome","WGS","north_america","United States of America",38.633556,-90.29137,"feces","mgp116","host-associated","animal_feces","Gordon","454","terrestrial","animal_host-associated"
"mgm4461355","feces","feces","host-associated",NA,"Colobus.MG","muegge_mammals_paper_mammal_samples_MG","metagenome","WGS","north_america","United States of America",38.633556,-90.29137,"feces","mgp116","host-associated","animal_feces","Gordon","454","terrestrial","animal_host-associated"
"mgm4461356","feces","feces","host-associated",NA,"Echidna.MG","muegge_mammals_paper_mammal_samples_MG","metagenome","WGS","north_america","United States of America",38.633556,-90.29137,"feces","mgp116","host-associated","animal_feces","Gordon","454","terrestrial","animal_host-associated"
"mgm4461357","feces","feces","host-associated",NA,"Gazelle3.MG","muegge_mammals_paper_mammal_samples_MG","metagenome","WGS","north_america","United States of America",38.633556,-90.29137,"feces","mgp116","host-associated","animal_feces","Gordon","454","terrestrial","animal_host-associated"
"mgm4461358","feces","feces","host-associated",NA,"Giraffe2.MG","muegge_mammals_paper_mammal_samples_MG","metagenome","WGS","north_america","United States of America",38.633556,-90.29137,"feces","mgp116","host-associated","animal_feces","Gordon","454","terrestrial","animal_host-associated"
"mgm4461360","feces","feces","host-associated",NA,"GorillaSTL.MG","muegge_mammals_paper_mammal_samples_MG","metagenome","WGS","north_america","United States of America",38.633556,-90.29137,"feces","mgp116","host-associated","animal_feces","Gordon","454","terrestrial","animal_host-associated"
"mgm4461361","feces","feces","host-associated",NA,"Horse1.MG","muegge_mammals_paper_mammal_samples_MG","metagenome","WGS","africa","United States of America",38.646991,-90.224967,"feces","mgp116","host-associated","animal_feces","Gordon","454","terrestrial","animal_host-associated"
"mgm4461362","feces","feces","host-associated",NA,"Hyena2.MG","muegge_mammals_paper_mammal_samples_MG","metagenome","WGS","north_america","United States of America",38.633556,-90.29137,"feces","mgp116","host-associated","animal_feces","Gordon","454","terrestrial","animal_host-associated"
"mgm4461363","feces","feces","host-associated",NA,"HyraxSD.MG","muegge_mammals_paper_mammal_samples_MG","metagenome","WGS","north_america","United States of America",32.736585,-117.151475,"feces","mgp116","host-associated","animal_feces","Gordon","454","terrestrial","animal_host-associated"
