" project_id","latitude","longitude","ecosystem","Habitat","n","Realm ","Biome","Functional group"
"mgp2076","39.6","-89.76","Soil","agricultural_soil",5,"Terrestrial","Intensive land-use ","Annual croplands"
"mgp2205","39.6","-89.76","Soil","agricultural_soil",2,"Terrestrial","Intensive land-use ","Annual croplands"
"mgp2850","39.75","-84.92","Soil","agricultural_soil",1,"Terrestrial","Intensive land-use ","Annual croplands"
"mgp2850","39.8","-84.92","Soil","agricultural_soil",1,"Terrestrial","Intensive land-use ","Annual croplands"
"mgp2205","40.08","-88.22","Soil","agricultural_soil",2,"Terrestrial","Intensive land-use ","Annual croplands"
"mgp2205","40.22","-88.47","Soil","agricultural_soil",2,"Terrestrial","Intensive land-use ","Annual croplands"
"mgp13948","40.46","-103.04","Soil","agricultural_soil",4,"Terrestrial","Intensive land-use ","Annual croplands"
"mgp13948","40.46","-103.03","Soil","agricultural_soil",9,"Terrestrial","Intensive land-use ","Annual croplands"
"mgp13948","40.47","-103.03","Soil","agricultural_soil",6,"Terrestrial","Intensive land-use ","Annual croplands"
"mgp13948","40.47","-103.02","Soil","agricultural_soil",1,"Terrestrial","Intensive land-use ","Annual croplands"
"mgp4184","41.01","-72.53","Soil","agricultural_soil",22,"Terrestrial","Intensive land-use ","Annual croplands"
"mgp4184","41.01","-72.49","Soil","agricultural_soil",20,"Terrestrial","Intensive land-use ","Annual croplands"
"mgp4184","41.02","-72.53","Soil","agricultural_soil",31,"Terrestrial","Intensive land-use ","Annual croplands"
"mgp4184","41.03","-72.46","Soil","agricultural_soil",10,"Terrestrial","Intensive land-use ","Annual croplands"
"mgp4184","41.04","-72.53","Soil","agricultural_soil",2,"Terrestrial","Intensive land-use ","Annual croplands"
"mgp4184","41.06","-75.45","Soil","agricultural_soil",4,"Terrestrial","Intensive land-use ","Annual croplands"
"mgp4184","41.06","-72.45","Soil","agricultural_soil",2,"Terrestrial","Intensive land-use ","Annual croplands"
"mgp13620","42.01","-93.78","Soil","agricultural_soil",49,"Terrestrial","Intensive land-use ","Annual croplands"
"mgp2592","42.01","-93.78","Soil","agricultural_soil",21,"Terrestrial","Intensive land-use ","Annual croplands"
"mgp19906","42.45","76.47","Soil","agricultural_soil",2,"Terrestrial","Intensive land-use ","Annual croplands"
"mgp20853","42.45","76.47","Soil","agricultural_soil",2,"Terrestrial","Intensive land-use ","Annual croplands"
"mgp8744","43.47","80.41","Soil","agricultural_soil",2,"Terrestrial","Intensive land-use ","Annual croplands"
"mgp12555","48.21","7.36","Soil","agricultural_soil",9,"Terrestrial","Intensive land-use ","Annual croplands"
"mgp18015","48.21","7.36","Soil","agricultural_soil",23,"Terrestrial","Intensive land-use ","Annual croplands"
"mgp10309","-19.47","-56.06","Freshwater","alkaline_environment",12,"Terrestrial-Freshwater","Palustrine wetlands ","Seasonal floodplain marshes"
