" project_id","latitude","longitude","ecosystem","Habitat","n","Realm ","Biome","Functional group"
"mgp20252","35.36","33.29","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp82857","35.6","2.9","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","35.66","24.99","Saline water","coastal_seawater",2,"Marine","Marine shelf",
"mgp14057","35.69","139.69","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252",37,"-7.97","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","37.01","-7.97","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp13419","37.07","-8.33","Saline water","coastal_seawater",14,"Marine","Marine shelf",
"mgp20252","37.17","-7.5","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","37.43","-25.32","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","37.43","-25.19","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp12299","38.07","-0.23","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","38.27","15.64","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp83517","38.31","-121.83","Saline water","coastal_seawater",4,"Marine","Marine shelf",
"mgp20252","38.41","27.03","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","38.48","21.32","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","38.53","-28.6","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","38.68","-76.17","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","38.76","-8.97","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","38.89","-76.54","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","39.13","-9.38","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","39.33","-75.47","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","39.42","-9.22","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","40.15","-8.87","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","40.81","14.25","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","41.14","-8.67","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp18000","41.23","-8.72","Saline water","coastal_seawater",2,"Marine","Marine shelf",
"mgp20252","41.52","-70.67","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","41.67","2.8","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","41.67","18.58","Saline water","coastal_seawater",2,"Marine","Marine shelf",
"mgp20252","41.68","-8.83","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","41.84","-83.19","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp2901","42.19","-10.17","Saline water","coastal_seawater",2,"Marine","Marine shelf",
"mgp20252","42.25","27.42","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp18097","42.4","-85.4","Saline water","coastal_seawater",34,"Marine","Marine shelf",
"mgp20252","42.49","3.14","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","43.18","27.91","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","43.23","5.75","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","43.33","-1.93","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","43.43","2.9","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","43.57","13.6","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20492","43.84","-69.64","Saline water","coastal_seawater",2,"Marine","Marine shelf",
"mgp20252","43.86","-69.58","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","43.95","12.94","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252",44,13,"Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp2901","44.24","-8.55","Saline water","coastal_seawater",2,"Marine","Marine shelf",
"mgp20252","44.67","-1.17","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","44.69","-63.64","Saline water","coastal_seawater",2,"Marine","Marine shelf",
"mgp20252","45.08","13.61","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","45.31","12.51","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","45.33","13.33","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","45.41","12.44","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","45.41","12.53","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","45.46","12.26","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","45.5","12.42","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","45.7","13.71","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","46.44","30.78","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","48.04","-123.03","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","48.36","-4.55","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","48.78","-3.94","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","50.15","-4.13","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","51.19","2.7","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","51.27","2.9","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","51.28","2.61","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","51.31","2.85","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","51.33","2.5","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","51.36","3.12","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","51.37","3.22","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","51.43","2.81","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","51.44","3.14","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","51.46","2.35","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","51.47","03.06","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","51.48","2.45","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","51.58","2.79","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","51.68","2.41","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","51.74","-8.31","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","51.8","01.01","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","53.23","-4.16","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","53.58","8.15","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","54.18","7.9","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","54.83",10,"Saline water","coastal_seawater"," ","Marine","Marine shelf",
"mgp20252","55.03","-1.43","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","56.96","-2.1","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","57.85","-5.65","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","58.96","-2.97","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","59.62","10.63","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","59.82","10.6","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","59.88","23.25","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","59.9","10.72","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","60.16","5.12","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp18","60.27","-5.22","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp52","60.27","-5.22","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp18","60.27","5.22","Saline water","coastal_seawater",6,"Marine","Marine shelf",
"mgp52","60.27","5.22","Saline water","coastal_seawater",2,"Marine","Marine shelf",
"mgp18","60.27","64.47","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp52","60.27","64.47","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","64.21","-22.02","Saline water","coastal_seawater",2,"Marine","Marine shelf",
"mgp20252","65.49","-18.06","Saline water","coastal_seawater",2,"Marine","Marine shelf",
"mgp20252","65.71","-18.12","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","65.94","-22.42","Saline water","coastal_seawater",2,"Marine","Marine shelf",
"mgp20252","66.01","-18.2","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","66.01","-18.19","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","66.13","-18.79","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","69.02","-105.34","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","74.31","-20.3","Saline water","coastal_seawater",2,"Marine","Marine shelf",
"mgp20252","78.45","-2.83","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp5435","-23.65","-46.62","Soil","compost",89,"Terrestrial","Intensive land-use ","Urban and industrial ecossystems"
"mgp5435","-23.65","-45.62","Soil","compost",1,"Terrestrial","Intensive land-use ","Urban and industrial ecossystems"
"mgp5435","-23.65","-44.62","Soil","compost",1,"Terrestrial","Intensive land-use ","Urban and industrial ecossystems"
"mgp3997",-23,-46,"Soil","compost",2,"Terrestrial","Intensive land-use ","Urban and industrial ecossystems"
"mgp80207","18.32","-65.75","Soil","compost",1,"Terrestrial","Intensive land-use ","Urban and industrial ecossystems"
"mgp80207","37.45","-121.93","Soil","compost",2,"Terrestrial","Intensive land-use ","Urban and industrial ecossystems"
"mgp80207","37.84","-122.29","Soil","compost",3,"Terrestrial","Intensive land-use ","Urban and industrial ecossystems"
"mgp80207","37.87","-122.31","Soil","compost",1,"Terrestrial","Intensive land-use ","Urban and industrial ecossystems"
"mgp80207","38.54","-121.76","Soil","compost",1,"Terrestrial","Intensive land-use ","Urban and industrial ecossystems"
"mgp80207","38.54","-121.75","Soil","compost",1,"Terrestrial","Intensive land-use ","Urban and industrial ecossystems"
"mgp80207","38.55","-121.75","Soil","compost",2,"Terrestrial","Intensive land-use ","Urban and industrial ecossystems"
"mgp6843","48.81","2.14","Soil","compost",4,"Terrestrial","Intensive land-use ","Urban and industrial ecossystems"
"mgp21223","51.57","9.91","Soil","compost",1,"Terrestrial","Intensive land-use ","Urban and industrial ecossystems"
"mgp80101","51.57","9.91","Soil","compost",2,"Terrestrial","Intensive land-use ","Urban and industrial ecossystems"
"mgp20355","-62.22","-58.96","Soil","contaminated_soil",13,"Terrestrial","Intensive land-use ",
"mgp9664","-23.87","-46.44","Soil","contaminated_soil",1,"Terrestrial","Intensive land-use ","Urban and industrial ecossystems"
"mgp79868",0,0,"Soil","contaminated_soil",4,"Terrestrial","Intensive land-use ",
"mgp11296","19.4","-98.05","Soil","contaminated_soil",6,"Terrestrial","Intensive land-use ","Urban and industrial ecossystems"
"mgp4113","29.72","-95.4","Soil","contaminated_soil",23,"Terrestrial","Intensive land-use ","Urban and industrial ecossystems"
"mgprock bay","48.42","-123.39","Soil","contaminated_soil",1,"Terrestrial","Intensive land-use ",
"mgp271","48.99","14.16","Soil","contaminated_soil",8,"Terrestrial","Intensive land-use ","Urban and industrial ecossystems"
"mgp2360","10.24","-61.6","Freshwater","contaminated_water",2,"Freshwater","Lakes","Small permanent freshwter lakes"
"mgp1963","34.67","135.21","Freshwater","contaminated_water",6,"Freshwater","Artificial wetlands ","Large reservoirs"
"mgp2360","55.07","-110.53","Freshwater","contaminated_water",1,"Freshwater","Artificial wetlands ","Large reservoirs"
"mgp2360","56.97","-111.39","Freshwater","contaminated_water",1,"Freshwater","Artificial wetlands ","Large reservoirs"
"mgp2360","57.02","-111.55","Freshwater","contaminated_water",11,"Freshwater","Artificial wetlands ","Large reservoirs"
"mgp9499","8.59","-84.08","Sediment","continental_slope_sediment",1,"Marine","Marine shelf ",
"mgp9501","8.59","-84.08","Sediment","continental_slope_sediment",1,"Marine","Marine shelf ",
"mgp9503","8.59","-84.08","Sediment","continental_slope_sediment",1,"Marine","Marine shelf ",
"mgp10545","23.03","60.87","Sediment","continental_slope_sediment",2,"Marine","Marine shelf ",
"mgp10826","23.03","60.87","Sediment","continental_slope_sediment",69,"Marine","Marine shelf ",
"mgp12175","42.48","3.13","Sediment","continental_slope_sediment",5,"Marine","Marine shelf ",
"mgp1813","-23.84","-45.17","Animal host","coral",2,"Marine","Marine shelf","Photic coral reefs"
"mgp16102","-20.58","-34.81","Animal host","coral",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16102","-20.53","-29.33","Animal host","coral",2,"Marine","Marine shelf","Photic coral reefs"
"mgp16102","-20.51","-38.07","Animal host","coral",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16102","-20.5","-25.36","Animal host","coral",1,"Marine","Marine shelf","Photic coral reefs"
"mgp10714",0,"-80.42","Animal host","coral",16,"Marine","Marine shelf","Photic coral reefs"
"mgp14567",12,"92.96","Animal host","coral",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16","21.43","-157.79","Animal host","coral",6,"Marine","Marine shelf","Photic coral reefs"
"mgp16","21.43","157.79","Animal host","coral",1,"Marine","Marine shelf","Photic coral reefs"
"mgp18043","24.99","80.41","Animal host","coral",37,"Marine","Marine shelf","Photic coral reefs"
"mgp17683","44.57","-123.28","Animal host","coral",4,"Marine","Marine shelf","Photic coral reefs"
"mgp16102","-20.58","-34.81","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16102","-20.53","-29.33","Saline water","coral_reef_seawater",3,"Marine","Marine shelf","Photic coral reefs"
"mgp16102","-20.51","-38.07","Saline water","coral_reef_seawater",2,"Marine","Marine shelf","Photic coral reefs"
"mgp16102","-20.5","-25.36","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp12549","-18.52","-38.7","Saline water","coral_reef_seawater",6,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-17.98","-38.67","Saline water","coral_reef_seawater",2,"Marine","Marine shelf","Photic coral reefs"
"mgp14437","-17.96","-38.7","Saline water","coral_reef_seawater",6,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-17.96","-38.7","Saline water","coral_reef_seawater",2,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-17.96","-38.69","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp14437","-17.96","-38.1","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-17.91","-39.15","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp4558","-17.91","-39.13","Saline water","coral_reef_seawater",2,"Marine","Marine shelf","Photic coral reefs"
"mgp9023","-17.9",-39,"Saline water","coral_reef_seawater",5,"Marine","Marine shelf","Photic coral reefs"
"mgp4558","-17.78","-39.05","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp4558","-17.48","-39.03","Saline water","coral_reef_seawater",5,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-17.48","-39.01","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-14.55","-168.15","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-14.55","-168.14","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-14.54","-168.15","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-14.29","-170.68","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-14.28","-170.67","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-14.25","-170.57","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-14.23","-169.42","Saline water","coral_reef_seawater"," ","Marine","Marine shelf","Photic coral reefs"
"mgp16701","-14.22","-169.51","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-14.21","-169.44","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-14.18","-169.63","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-14.17","-169.68","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-14.16","-169.67","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp9220","-11.44","-151.82","Saline water","coral_reef_seawater",2,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-11.43","-151.82","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp9220","-11.42","-151.83","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-11.07","-171.08","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-11.06","-171.09","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-11.06","-171.07","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-11.05","-171.09","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp9220","-10.06","-152.31","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp9220","-9.92","-150.21","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-9.91","-150.2","Saline water","coral_reef_seawater",2,"Marine","Marine shelf","Photic coral reefs"
"mgp9220","-9.91","-150.2","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp9220","-5.66","-155.87","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp9220","-5.62","-155.88","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp9220","-4.03","-154.95","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-4.01","-154.92","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp9220",-4,"-154.94","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-0.38","-160.01","Saline water","coral_reef_seawater",2,"Marine","Marine shelf","Photic coral reefs"
"mgp9220","-0.38",-160,"Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-0.38","-159.98","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-0.38","-159.97","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp9220","-0.37","-160.01","Saline water","coral_reef_seawater",3,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","-0.36",-160,"Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","0.19","-176.48","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","0.19","-176.47","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","0.19","-176.46","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","0.2","-176.48","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","0.79","-176.62","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","0.8","-176.62","Saline water","coral_reef_seawater",2,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","0.81","-176.62","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp40","1.99","-157.48","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp9220","1.99","-157.48","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp40","1.99","157.48","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp9220","02.01","-157.49","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16895","02.04","-157.5","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16895","3.81","-159.34","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp9220","3.83","-159.35","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp9220","3.84","-159.36","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp9220","4.69","-160.42","Saline water","coral_reef_seawater"," ","Marine","Marine shelf","Photic coral reefs"
"mgp9220","4.7","-160.39","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp40","5.87","-162.13","Saline water","coral_reef_seawater",2,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","5.87","-162.12","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp9220","5.87","-162.11","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16895","5.87","-162.08","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","6.38","-162.4","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp9220","6.39","-162.39","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16895","6.39","-162.36","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","6.39","-162.35","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16895","6.39","-162.35","Saline water","coral_reef_seawater",2,"Marine","Marine shelf","Photic coral reefs"
"mgp40","6.39","-162.33","Saline water","coral_reef_seawater",2,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","6.4","-162.39","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16895","6.4","-162.34","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","6.43","-162.38","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16895","16.78","-88.08","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp19414","17.54","-149.83","Saline water","coral_reef_seawater",20,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","19.08","-155.55","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp18593","19.73","-155.07","Saline water","coral_reef_seawater",5,"Marine","Marine shelf","Photic coral reefs"
"mgp19050","19.73","-155.07","Saline water","coral_reef_seawater",12,"Marine","Marine shelf","Photic coral reefs"
"mgp16701",20,"-155.83","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","20.76","-156.83","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","20.86","-156.14","Saline water","coral_reef_seawater",2,"Marine","Marine shelf","Photic coral reefs"
"mgp16895","20.88","-86.85","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","20.9","-156.87","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","20.92","-156.91","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","21.14","-157.29","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","21.17","-156.82","Saline water","coral_reef_seawater",2,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","21.44",-158,"Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","21.62","-158.1","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","21.85","-160.18","Saline water","coral_reef_seawater",2,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","21.91","-159.65","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701",22,"-160.1","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","22.1","-159.53","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","23.64","-155.88","Saline water","coral_reef_seawater",3,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","23.88","-166.29","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","25.93","-173.89","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","25.99","-173.99","Saline water","coral_reef_seawater",2,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","26.04","-173.88","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","26.08",-174,"Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp14181","26.66","-78.52","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","27.78","-175.88","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp16701","27.87","-175.73","Saline water","coral_reef_seawater",1,"Marine","Marine shelf","Photic coral reefs"
"mgp19414","34.25","-119.91","Saline water","coral_reef_seawater",16,"Marine","Marine shelf","Photic coral reefs"
"mgp11367","-23.96","-68.17","Sediment","desert_sediment",1,"Terrestrial","Deserts and semi-deserts","Hyper-arid deserts"
"mgp11367","-22.92","-68.25","Sediment","desert_sediment",1,"Terrestrial","Deserts and semi-deserts","Hyper-arid deserts"
"mgp11367","-20.93","-70.01","Sediment","desert_sediment",6,"Terrestrial","Deserts and semi-deserts","Hyper-arid deserts"
"mgp10310","-78.03","163.87","Soil","desert_soil",1,"Terrestrial","Deserts and semi-deserts ",
"mgp2997","-78.03","163.87","Soil","desert_soil",1,"Terrestrial","Polar/alpine (cryogenic) ","Polar tundra and deserts"
"mgp8101","-77.86","160.73","Soil","desert_soil",2,"Terrestrial","Deserts and semi-deserts ",
"mgp10310","-77.72","162.31","Soil","desert_soil",2,"Terrestrial","Deserts and semi-deserts ",
"mgp2997","-77.72","162.31","Soil","desert_soil",2,"Terrestrial","Polar/alpine (cryogenic) ","Polar tundra and deserts"
"mgp15251","-77.65","163.12","Soil","desert_soil",1,"Terrestrial","Polar/alpine (cryogenic)","Polar/alpine cliffs, screes, outcrops and lava flows"
"mgp10310","-77.64","162.89","Soil","desert_soil",1,"Terrestrial","Deserts and semi-deserts ",
"mgp2997","-77.64","162.89","Soil","desert_soil",1,"Terrestrial","Polar/alpine (cryogenic) ","Polar tundra and deserts"
"mgp10310","-77.61","163.25","Soil","desert_soil",1,"Terrestrial","Deserts and semi-deserts ",
"mgp2997","-77.61","163.25","Soil","desert_soil",1,"Terrestrial","Polar/alpine (cryogenic) ","Polar tundra and deserts"
"mgp10310","-77.53","161.7","Soil","desert_soil",1,"Terrestrial","Deserts and semi-deserts ",
"mgp2997","-77.53","161.7","Soil","desert_soil",1,"Terrestrial","Polar/alpine (cryogenic) ","Polar tundra and deserts"
"mgp15251","-77.05","161.36","Soil","desert_soil",1,"Terrestrial","Polar/alpine (cryogenic)","Polar/alpine cliffs, screes, outcrops and lava flows"
"mgp15251","-77.03","161.67","Soil","desert_soil",1,"Terrestrial","Polar/alpine (cryogenic)","Polar/alpine cliffs, screes, outcrops and lava flows"
