"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem","PI_lastname","seq_meth"
"mgm4465556","Forest","mountain forest soil","soil",NA,"UOF_454","Fire at Holm-Oak Rhizosphere","metagenome","WGS","europe","Spain",36.96971,-3.46027,"Mediterranean forests, woodlands, and shrub biome","mgp3608","host-associated","rhizosphere","terrestrial","plant-associated","fernandez-lopez","454"
"mgm4465558","Forest","mountain forest soil","soil",NA,"BOF_454","Fire at Holm-Oak Rhizosphere","metagenome","WGS","europe","Spain",36.95744,-3.46336,"Mediterranean forests, woodlands, and shrub biome","mgp3608","host-associated","rhizosphere","terrestrial","plant-associated","fernandez-lopez","454"
