"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem","PI_lastname","seq_meth"
"mgm4549012","organic feature","mucus","human-associated",NA,"LPOS01","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated","cameron","illumina"
"mgm4549013","organic feature","mucus","human-associated",NA,"LPOS04","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated","cameron","illumina"
"mgm4549014","organic feature","mucus","human-associated",NA,"SCON10","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated","cameron","illumina"
"mgm4549015","organic feature","mucus","human-associated",NA,"LNEG06","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated","cameron","illumina"
"mgm4549016","organic feature","mucus","human-associated",NA,"LNEG04","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated","cameron","illumina"
"mgm4549017","organic feature","mucus","human-associated",NA,"SCON05","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated","cameron","illumina"
"mgm4549018","organic feature","mucus","human-associated",NA,"SCON09","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated","cameron","illumina"
"mgm4549019","organic feature","mucus","human-associated",NA,"LPOS03","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated","cameron","illumina"
"mgm4549020","organic feature","mucus","human-associated",NA,"SCON04","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated","cameron","illumina"
"mgm4549021","organic feature","mucus","human-associated",NA,"SCON08","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated","cameron","illumina"
