samples,feature,material,env.package,metagenome_taxonomy,sample_name,project_name,investigation_type,sequence_type,continent,country,latitude,longitude,raw_biome,project_id,life_style,habitat,biosphere,ecosystem,PI_lastname,seq_meth
mgm4664573,blanket bog,peat soil,soil,NA,T4_B6,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664574,blanket bog,peat soil,soil,NA,T4_B1,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664575,blanket bog,peat soil,soil,NA,T2_B2,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664576,blanket bog,peat soil,soil,NA,T6_B6,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664577,blanket bog,peat soil,soil,NA,T9_B8,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664578,blanket bog,peat soil,soil,NA,T4_B3,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664579,blanket bog,peat soil,soil,NA,T9_B3,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664580,blanket bog,peat soil,soil,NA,T6_B5,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664581,blanket bog,peat soil,soil,NA,T9_B6,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664582,blanket bog,peat soil,soil,NA,T6_B8,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664583,blanket bog,peat soil,soil,NA,T4_B2,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664584,blanket bog,peat soil,soil,NA,T7_B10,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664585,blanket bog,peat soil,soil,NA,T9_B4,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664586,blanket bog,peat soil,soil,NA,T4_B9,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664587,blanket bog,peat soil,soil,NA,T4_B5,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664588,blanket bog,peat soil,soil,NA,T6_B4,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664590,blanket bog,peat soil,soil,NA,T7_B8,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664591,blanket bog,peat soil,soil,NA,T2_B7,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4664594,blanket bog,peat soil,soil,NA,T4_B7,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
mgm4666456,blanket bog,peat soil,soil,NA,T9_B6_2,BogDrought_negative_removed_unpaired,metagenome,WGS,europe,United Kingdom,53.140317,-4.070982,habitat,mgp14992,free-living,peat_soil,terrestrial,soil,creer,illumina
