"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem","PI_lastname","seq_meth"
"mgm4530393","plain","soil","soil",NA,"Forest_A001_1_split_1","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"Tropical humid forests","mgp3731","free-living","forest_soil","terrestrial","soil","bohannan","illumina"
"mgm4530394","plain","soil","soil",NA,"Forest_A001_1_split_2","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"Tropical humid forests","mgp3731","free-living","forest_soil","terrestrial","soil","bohannan","illumina"
"mgm4530395","plain","soil","soil",NA,"Forest_A001_1_split_3","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"Tropical humid forests","mgp3731","free-living","forest_soil","terrestrial","soil","bohannan","illumina"
"mgm4530396","plain","soil","soil",NA,"Forest_A001_1_split_4","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"Tropical humid forests","mgp3731","free-living","forest_soil","terrestrial","soil","bohannan","illumina"
"mgm4535539","plain","soil","soil",NA,"Forest_A10_1_split_1","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"Tropical humid forests","mgp3731","free-living","forest_soil","terrestrial","soil","bohannan","illumina"
"mgm4535540","plain","soil","soil",NA,"Forest_A100_2_split_2","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"Tropical humid forests","mgp3731","free-living","forest_soil","terrestrial","soil","bohannan","illumina"
"mgm4535541","plain","soil","soil",NA,"Forest_A001_2_split_1","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"Tropical humid forests","mgp3731","free-living","forest_soil","terrestrial","soil","bohannan","illumina"
"mgm4535542","plain","soil","soil",NA,"Forest_A01_2_split_4","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"Tropical humid forests","mgp3731","free-living","forest_soil","terrestrial","soil","bohannan","illumina"
"mgm4535543","plain","soil","soil",NA,"Forest_A1_1_split_4","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"Tropical humid forests","mgp3731","free-living","forest_soil","terrestrial","soil","bohannan","illumina"
"mgm4535544","plain","soil","soil",NA,"Forest_A100_2_split_3","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"Tropical humid forests","mgp3731","free-living","forest_soil","terrestrial","soil","bohannan","illumina"
"mgm4535545","plain","soil","soil",NA,"Forest_A01_1_split_1","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"Tropical humid forests","mgp3731","free-living","forest_soil","terrestrial","soil","bohannan","illumina"
"mgm4535546","plain","soil","soil",NA,"Forest_A10_1_split_3","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"Tropical humid forests","mgp3731","free-living","forest_soil","terrestrial","soil","bohannan","illumina"
"mgm4535547","plain","soil","soil",NA,"Forest_A100_1_split_4","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"Tropical humid forests","mgp3731","free-living","forest_soil","terrestrial","soil","bohannan","illumina"
"mgm4535548","plain","soil","soil",NA,"Forest_A001_2_split_3","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"Tropical humid forests","mgp3731","free-living","forest_soil","terrestrial","soil","bohannan","illumina"
"mgm4535549","plain","soil","soil",NA,"Forest_A01_1_split_2","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"Tropical humid forests","mgp3731","free-living","forest_soil","terrestrial","soil","bohannan","illumina"
"mgm4535550","plain","soil","soil",NA,"Forest_A10_1_split_2","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"Tropical humid forests","mgp3731","free-living","forest_soil","terrestrial","soil","bohannan","illumina"
"mgm4535551","plain","soil","soil",NA,"Forest_A001_2_split_2","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"Tropical humid forests","mgp3731","free-living","forest_soil","terrestrial","soil","bohannan","illumina"
"mgm4535552","plain","soil","soil",NA,"Forest_A01_1_split_3","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"Tropical humid forests","mgp3731","free-living","forest_soil","terrestrial","soil","bohannan","illumina"
"mgm4535553","plain","soil","soil",NA,"Forest_A10_2_split_1","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"Tropical humid forests","mgp3731","free-living","forest_soil","terrestrial","soil","bohannan","illumina"
"mgm4535554","plain","soil","soil",NA,"Forest_A100_1_split_2","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"Tropical humid forests","mgp3731","free-living","forest_soil","terrestrial","soil","bohannan","illumina"
"mgm4535555","plain","soil","soil",NA,"Forest_A01_1_split_4","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"Tropical humid forests","mgp3731","free-living","forest_soil","terrestrial","soil","bohannan","illumina"
"mgm4535556","plain","soil","soil",NA,"Forest_A1_2_split_4","ARMO","metagenome","WGS",NA,"Brazil",10.168056,62.824167,"Tropical humid forests","mgp3731","free-living","forest_soil","terrestrial","soil","bohannan","illumina"
