"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem","PI_lastname","seq_meth"
"mgm4719937","marine water body","water","water",NA,"ERR771101_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",32.7747,-16.828664,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719938","marine water body","water","water",NA,"ERR770988_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",41.6666,2.8,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719939","marine water body","water","water",NA,"ERR770963_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",35.086353,-2.214658,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719940","marine water body","water","water",NA,"ERR770985_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",53.225417,-4.159028,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719941","marine water body","water","water",NA,"ERR771051_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",48.359,-4.552,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719942","marine water body","water","water",NA,"ERR771099_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",65.9449,-22.4192,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719943","marine water body","water","water",NA,"ERR770994_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",27.041533,33.9082,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719944","marine water body","water","water",NA,"ERR771071_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",31.383607,-80.866685,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719945","marine water body","water","water",NA,"ERR770997_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",43.333333,-1.925,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719946","marine water body","water","water",NA,"ERR771022_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",43.22639,5.74583,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
