"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem","PI_lastname","seq_meth"
"mgm4612269","wood fall","wood","plant-associated",NA,"F3EC_unassembled","FSF","metagenome","WGS","europe","France",42.4666667,3.4666667,"wood fall","mgp12094","free-living","wood_decomposition","marine","saline_water","galand","illumina"
"mgm4623131","saline water aquarium","biofilm material","microbial mat|biofilm",NA,"T1FR1","MICADO","metagenome","WGS",NA,"France",42.48343,3.128874,"wood fall","mgp5272","free-living","saline_water_biofilm","marine","saline_water","galand","illumina"
"mgm4623132","saline water aquarium","biofilm material","microbial mat|biofilm",NA,"T5FR1","MICADO","metagenome","WGS",NA,"France",42.48343,3.128874,"wood fall","mgp5272","free-living","saline_water_biofilm","marine","saline_water","galand","illumina"
"mgm4623133","saline water aquarium","biofilm material","microbial mat|biofilm",NA,"T6FR2","MICADO","metagenome","WGS",NA,"France",42.48343,3.128874,"wood fall","mgp5272","free-living","saline_water_biofilm","marine","saline_water","galand","illumina"
"mgm4625757","wood fall","wood","plant-associated",NA,"T1_3m","WINE1","metagenome","WGS",NA,"France",42.48343,3.128874,"wood fall","mgp13145","host-associated","wood_decomposition","marine","saline_water","galand","illumina"
"mgm4625760","wood fall","wood","plant-associated",NA,"T1_P","WINE1","metagenome","WGS",NA,"France",42.48343,3.128874,"wood fall","mgp13145","host-associated","wood_decomposition","marine","saline_water","galand","illumina"
"mgm4625761","wood fall","wood","plant-associated",NA,"T2_3m","WINE1","metagenome","WGS",NA,"France",42.48343,3.128874,"wood fall","mgp13145","host-associated","wood_decomposition","marine","saline_water","galand","illumina"
"mgm4625762","wood fall","wood","plant-associated",NA,"T2_500m","WINE1","metagenome","WGS",NA,"France",42.48343,3.128874,"wood fall","mgp13145","host-associated","wood_decomposition","marine","saline_water","galand","illumina"
"mgm4625763","wood fall","wood","plant-associated",NA,"T3_3m","WINE1","metagenome","WGS",NA,"France",42.48343,3.128874,"wood fall","mgp13145","host-associated","wood_decomposition","marine","saline_water","galand","illumina"
"mgm4625764","wood fall","wood","plant-associated",NA,"T3_500m","WINE1","metagenome","WGS",NA,"France",42.48343,3.128874,"wood fall","mgp13145","host-associated","wood_decomposition","marine","saline_water","galand","illumina"
"mgm4625765","wood fall","wood","plant-associated",NA,"T4_3m","WINE1","metagenome","WGS",NA,"France",42.48343,3.128874,"wood fall","mgp13145","host-associated","wood_decomposition","marine","saline_water","galand","illumina"
"mgm4625766","wood fall","wood","plant-associated",NA,"T4_500m","WINE1","metagenome","WGS",NA,"France",42.48343,3.128874,"wood fall","mgp13145","host-associated","wood_decomposition","marine","saline_water","galand","illumina"
