"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem"
"mgm4581742","continental slope","marine sediment","sediment",NA,"0.96_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581744","continental slope","marine sediment","sediment",NA,"6.07_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581745","continental slope","marine sediment","sediment",NA,"6.27_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581746","continental slope","marine sediment","sediment",NA,"6.43_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581747","continental slope","marine sediment","sediment",NA,"6.74_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581748","continental slope","marine sediment","sediment",NA,"6.83_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581749","continental slope","marine sediment","sediment",NA,"7.03_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581750","continental slope","marine sediment","sediment",NA,"7.18_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581751","continental slope","marine sediment","sediment",NA,"7.33_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581752","continental slope","marine sediment","sediment",NA,"7.50_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581753","continental slope","marine sediment","sediment",NA,"3.93_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581754","continental slope","marine sediment","sediment",NA,"7.68_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581755","continental slope","marine sediment","sediment",NA,"7.79_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581756","continental slope","marine sediment","sediment",NA,"7.93_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581757","continental slope","marine sediment","sediment",NA,"8.09_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581758","continental slope","marine sediment","sediment",NA,"8.28_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581759","continental slope","marine sediment","sediment",NA,"4.08_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581760","continental slope","marine sediment","sediment",NA,"4.15_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581761","continental slope","marine sediment","sediment",NA,"4.32_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581762","continental slope","marine sediment","sediment",NA,"4.48_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581763","continental slope","marine sediment","sediment",NA,"4.68_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581764","continental slope","marine sediment","sediment",NA,"4.82_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581765","continental slope","marine sediment","sediment",NA,"5.48_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581766","continental slope","marine sediment","sediment",NA,"5.63_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581767","continental slope","marine sediment","sediment",NA,"10.42_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581768","continental slope","marine sediment","sediment",NA,"10.72_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581769","continental slope","marine sediment","sediment",NA,"10.91_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581770","continental slope","marine sediment","sediment",NA,"11.12_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581771","continental slope","marine sediment","sediment",NA,"11.27_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581772","continental slope","marine sediment","sediment",NA,"11.47_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581773","continental slope","marine sediment","sediment",NA,"11.51_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581776","continental slope","marine sediment","sediment",NA,"11.87_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581777","continental slope","marine sediment","sediment",NA,"8.45_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581778","continental slope","marine sediment","sediment",NA,"12.02_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581779","continental slope","marine sediment","sediment",NA,"12.27_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581780","continental slope","marine sediment","sediment",NA,"12.42_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
