"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem"
"mgm4527699","industrial wastewate treatment plant","agricultural waste","wastewater|sludge",NA,"UKE_Metagenome","POME Metagenome","metagenome","WGS",NA,"Malaysia",2,101,"cropland biome","mgp5013","free-living","sludge","freshwater","wastewater"
"mgm4599960","rhizosphere","agricultural soil","soil",NA,"S2_soil_sample_intervened_by_agricultural_processes","Influence of agricultural activities in the structure and metabolic functionality of paramo soil samples in Colombia studied using a metagenomics analysis in dynamic state","metagenome","WGS",NA,"Colombia",4.7459722,-75.4441944444444,"cropland biome","mgp11299","free-living","rhizosphere","terrestrial","soil"
"mgm4754569","area of cropland","soil","soil",NA,"part7_all95_discard_nullvalue","project 2","metagenome","WGS",NA,"China",33.25,116.55,"cropland biome","mgp81253","free-living","agricultural_soil","terrestrial","soil"
"mgm4754570","area of cropland","soil","soil",NA,"part8_all95_discard_nullvalue","project 2","metagenome","WGS",NA,"China",33.25,116.55,"cropland biome","mgp81253","free-living","agricultural_soil","terrestrial","soil"
"mgm4754571","area of cropland","soil","soil",NA,"part6_all95_discard_nullvalue","project 2","metagenome","WGS",NA,"China",33.25,116.55,"cropland biome","mgp81253","free-living","agricultural_soil","terrestrial","soil"
"mgm4754572","area of cropland","soil","soil",NA,"part1_all95_discard_nullvalue","project 2","metagenome","WGS",NA,"China",33.25,116.55,"cropland biome","mgp81253","free-living","agricultural_soil","terrestrial","soil"
"mgm4754573","area of cropland","soil","soil",NA,"part0_all95_discard_nullvalue","project 2","metagenome","WGS",NA,"China",33.25,116.55,"cropland biome","mgp81253","free-living","agricultural_soil","terrestrial","soil"
"mgm4754574","area of cropland","soil","soil",NA,"part3_all95_discard_nullvalue","project 2","metagenome","WGS",NA,"China",33.25,116.55,"cropland biome","mgp81253","free-living","agricultural_soil","terrestrial","soil"
"mgm4754575","area of cropland","soil","soil",NA,"part5_all95_discard_nullvalue","project 2","metagenome","WGS",NA,"China",33.25,116.55,"cropland biome","mgp81253","free-living","agricultural_soil","terrestrial","soil"
"mgm4754576","area of cropland","soil","soil",NA,"part4_all95_discard_nullvalue","project 2","metagenome","WGS",NA,"China",33.25,116.55,"cropland biome","mgp81253","free-living","agricultural_soil","terrestrial","soil"
"mgm4754577","area of cropland","soil","soil",NA,"part9_all95_discard_nullvalue","project 2","metagenome","WGS",NA,"China",33.25,116.55,"cropland biome","mgp81253","free-living","agricultural_soil","terrestrial","soil"
"mgm4754578","area of cropland","soil","soil",NA,"part2_all95_discard_nullvalue","project 2","metagenome","WGS",NA,"China",33.25,116.55,"cropland biome","mgp81253","free-living","agricultural_soil","terrestrial","soil"
