"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem"
"mgm4742241","environmental zone","liquid environmental material","water",NA,"2_113_S4_L001_R1_001","W113 R1","metagenome","WGS",NA,"USA",29.4241,-98.4936,"aquatic environment","mgp80124","free-living","sludge","freshwater","wastewater"
"mgm4750430","environmental zone","waste material","wastewater|sludge",NA,"Inf_712contig","Uganda","metagenome","WGS",NA,"Uganda",0.5,32,"aquatic environment","mgp80872","free-living","sludge","freshwater","wastewater"
"mgm4750435","environmental zone","waste material","wastewater|sludge",NA,"Inf_725contig","Uganda","metagenome","WGS",NA,"Uganda",0.5,32,"aquatic environment","mgp80872","free-living","sludge","freshwater","wastewater"
"mgm4751275","environmental zone","waste material","wastewater|sludge",NA,"Inf_808contig","Uganda","metagenome","WGS",NA,"Uganda",0.5,32,"aquatic environment","mgp80872","free-living","sludge","freshwater","wastewater"
"mgm4751277","environmental zone","liquid environmental material","water",NA,"Swamp_712contig","Uganda","metagenome","WGS",NA,"Uganda",0.5,32,"aquatic environment","mgp80872","free-living","sludge","freshwater","wastewater"
"mgm4767525","environmental zone","liquid environmental material","wastewater|sludge",NA,"ENC","enigmaII","metagenome","WGS",NA,"USA",36.0104,-84.2696,"aquatic environment","mgp82534","free-living","sludge","freshwater","wastewater"
"mgm4767527","environmental zone","liquid environmental material","wastewater|sludge",NA,"DNC","enigmaII","metagenome","WGS",NA,"USA",36.0104,-84.2696,"aquatic environment","mgp82534","free-living","sludge","freshwater","wastewater"
"mgm4767528","environmental zone","liquid environmental material","wastewater|sludge",NA,"CNC","enigmaII","metagenome","WGS",NA,"USA",36.0104,-84.2696,"aquatic environment","mgp82534","free-living","sludge","freshwater","wastewater"
"mgm4770402","sea coast","water","water",NA,"contigs_osd24","Med Atl Contigs","metagenome","WGS",NA,"Morocco",35.6,2.9,"aquatic environment","mgp82857","free-living","coastal_seawater","marine","saline_water"
"mgm4770403","sea coast","water","water",NA,"contigs_osd91","Med Atl Contigs","metagenome","WGS",NA,"Morocco",32.4,9.02,"aquatic environment","mgp82857","free-living","coastal_seawater","marine","saline_water"
"mgm4773096","environmental zone","liquid environmental material","wastewater|sludge",NA,"B_clean.non_circular","enigmaX","metagenome","WGS",NA,"USA",36.0104,-84.2696,"aquatic environment","mgp83145","free-living","sludge","freshwater","wastewater"
"mgm4773097","environmental zone","liquid environmental material","wastewater|sludge",NA,"F_clean.non_circular","enigmaX","metagenome","WGS",NA,"USA",36.0104,-84.2696,"aquatic environment","mgp83145","free-living","sludge","freshwater","wastewater"
"mgm4773098","environmental zone","liquid environmental material","wastewater|sludge",NA,"D_clean.non_circular","enigmaX","metagenome","WGS",NA,"USA",36.0104,-84.2696,"aquatic environment","mgp83145","free-living","sludge","freshwater","wastewater"
"mgm4773099","environmental zone","liquid environmental material","wastewater|sludge",NA,"C_clean.non_circular","enigmaX","metagenome","WGS",NA,"USA",36.0104,-84.2696,"aquatic environment","mgp83145","free-living","sludge","freshwater","wastewater"
"mgm4773100","environmental zone","liquid environmental material","wastewater|sludge",NA,"E_clean.non_circular","enigmaX","metagenome","WGS",NA,"USA",36.0104,-84.2696,"aquatic environment","mgp83145","free-living","sludge","freshwater","wastewater"
