"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem","PI_lastname","seq_meth"
"mgm4524574","human-associated habitat","biological product","human-gut",NA,"HuFA","Healthy human gut study","metagenome","WGS",NA,"Japan",35.490139,139.683694,"anthropogenic terrestrial biome","mgp4778","host-associated","human-gut","terrestrial","human_host-associated","taylor","sanger"
"mgm4525093","human-associated habitat","biological product","human-gut",NA,"HuFM","Healthy human gut study","metagenome","WGS",NA,"Japan",35.490139,139.683694,"anthropogenic terrestrial biome","mgp4778","host-associated","human-gut","terrestrial","human_host-associated","taylor","sanger"
"mgm4525311","human-associated habitat","biological product","human-gut",NA,"HuFS","Healthy human gut study","metagenome","WGS",NA,"Japan",35.490139,139.683694,"anthropogenic terrestrial biome","mgp4778","host-associated","human-gut","terrestrial","human_host-associated","taylor","sanger"
"mgm4525312","human-associated habitat","biological product","human-gut",NA,"HuFT","Healthy human gut study","metagenome","WGS",NA,"Japan",35.490139,139.683694,"anthropogenic terrestrial biome","mgp4778","host-associated","human-gut","terrestrial","human_host-associated","taylor","sanger"
"mgm4525314","human-associated habitat","biological product","human-gut",NA,"HuFU","Healthy human gut study","metagenome","WGS",NA,"Japan",35.490139,139.683694,"anthropogenic terrestrial biome","mgp4778","host-associated","human-gut","terrestrial","human_host-associated","taylor","sanger"
"mgm4525315","human-associated habitat","biological product","human-gut",NA,"HuFV","Healthy human gut study","metagenome","WGS",NA,"Japan",35.490139,139.683694,"anthropogenic terrestrial biome","mgp4778","host-associated","human-gut","terrestrial","human_host-associated","taylor","sanger"
"mgm4525317","human-associated habitat","biological product","human-gut",NA,"HuFW","Healthy human gut study","metagenome","WGS",NA,"Japan",35.490139,139.683694,"anthropogenic terrestrial biome","mgp4778","host-associated","human-gut","terrestrial","human_host-associated","taylor","sanger"
"mgm4525322","human-associated habitat","biological product","human-gut",NA,"HuFW","Healthy human gut study","metagenome","WGS",NA,"Japan",35.490139,139.683694,"anthropogenic terrestrial biome","mgp4778","host-associated","human-gut","terrestrial","human_host-associated","taylor","sanger"
"mgm4525323","human-associated habitat","biological product","human-gut",NA,"HuFX","Healthy human gut study","metagenome","WGS",NA,"Japan",35.490139,139.683694,"anthropogenic terrestrial biome","mgp4778","host-associated","human-gut","terrestrial","human_host-associated","taylor","sanger"
"mgm4525324","human-associated habitat","biological product","human-gut",NA,"HuFY","Healthy human gut study","metagenome","WGS",NA,"Japan",35.490139,139.683694,"anthropogenic terrestrial biome","mgp4778","host-associated","human-gut","terrestrial","human_host-associated","taylor","sanger"
"mgm4525325","human-associated habitat","biological product","human-gut",NA,"In-DA","Healthy human gut study","metagenome","WGS",NA,"Japan",35.490139,139.683694,"anthropogenic terrestrial biome","mgp4778","host-associated","human-gut","terrestrial","human_host-associated","taylor","sanger"
"mgm4525701","human-associated habitat","biological product","human-gut",NA,"In-EA","Healthy human gut study","metagenome","WGS",NA,"Japan",35.490139,139.683694,"anthropogenic terrestrial biome","mgp4778","host-associated","human-gut","terrestrial","human_host-associated","taylor","sanger"
"mgm4530711","human-associated habitat","biological product","human-gut",NA,"In-EA","Healthy human gut study","metagenome","WGS",NA,"Japan",35.490139,139.683694,"anthropogenic terrestrial biome","mgp4778","host-associated","human-gut","terrestrial","human_host-associated","taylor","sanger"
"mgm4530717","human-associated habitat","biological product","human-gut",NA,"HuFD","HuFD","metagenome","WGS",NA,"Japan",35.490139,139.683694,"anthropogenic terrestrial biome","mgp4720","host-associated","human-gut","terrestrial","human_host-associated","taylor","sanger"
"mgm4531566","wastewater treatment plant","sewage","wastewater|sludge",NA,"UTM_sample_A4","UTM waste water treatment plant project A","metagenome","WGS",NA,"Malaysia",1.5580384,103.6420599,"anthropogenic terrestrial biome","mgp5463","free-living","wastewater_treatment_plant","freshwater","wastewater","vijaya kumaran","illumina"
"mgm4531567","wastewater treatment plant","sewage","wastewater|sludge",NA,"UTM_sample_A6","UTM waste water treatment plant project A","metagenome","WGS",NA,"Malaysia",1.5580384,103.6420599,"anthropogenic terrestrial biome","mgp5463","free-living","wastewater_treatment_plant","freshwater","wastewater","vijaya kumaran","illumina"
"mgm4531568","wastewater treatment plant","sewage","wastewater|sludge",NA,"UTM_sample_A1","UTM waste water treatment plant project A","metagenome","WGS",NA,"Malaysia",1.5580384,103.6420599,"anthropogenic terrestrial biome","mgp5463","free-living","wastewater_treatment_plant","freshwater","wastewater","vijaya kumaran","illumina"
"mgm4531569","wastewater treatment plant","sewage","wastewater|sludge",NA,"UTM_sample_A3","UTM waste water treatment plant project A","metagenome","WGS",NA,"Malaysia",1.5580384,103.6420599,"anthropogenic terrestrial biome","mgp5463","free-living","wastewater_treatment_plant","freshwater","wastewater","vijaya kumaran","illumina"
"mgm4531570","wastewater treatment plant","sewage","wastewater|sludge",NA,"UTM_sample_A2","UTM waste water treatment plant project A","metagenome","WGS",NA,"Malaysia",1.5580384,103.6420599,"anthropogenic terrestrial biome","mgp5463","free-living","wastewater_treatment_plant","freshwater","wastewater","vijaya kumaran","illumina"
"mgm4531573","wastewater treatment plant","sewage","wastewater|sludge",NA,"UTM_sample_A5","UTM waste water treatment plant project A","metagenome","WGS",NA,"Malaysia",1.5580384,103.6420599,"anthropogenic terrestrial biome","mgp5463","free-living","wastewater_treatment_plant","freshwater","wastewater","vijaya kumaran","illumina"
"mgm4531583","wastewater treatment plant","sewage","wastewater|sludge",NA,"UTM_sample_B1","UTM waste water treatment plant project B","metagenome","WGS",NA,"Malaysia",1.5580384,103.6420599,"anthropogenic terrestrial biome","mgp5465","free-living","wastewater_treatment_plant","freshwater","wastewater","vijaya kumaran","illumina"
"mgm4531584","wastewater treatment plant","sewage","wastewater|sludge",NA,"UTM_sample_B2","UTM waste water treatment plant project B","metagenome","WGS",NA,"Malaysia",1.5580384,103.6420599,"anthropogenic terrestrial biome","mgp5465","free-living","wastewater_treatment_plant","freshwater","wastewater","vijaya kumaran","illumina"
"mgm4531585","wastewater treatment plant","sewage","wastewater|sludge",NA,"UTM_sample_B3","UTM waste water treatment plant project B","metagenome","WGS",NA,"Malaysia",1.5580384,103.6420599,"anthropogenic terrestrial biome","mgp5465","free-living","wastewater_treatment_plant","freshwater","wastewater","vijaya kumaran","illumina"
"mgm4531586","wastewater treatment plant","sewage","wastewater|sludge",NA,"UTM_sample_B4","UTM waste water treatment plant project B","metagenome","WGS",NA,"Malaysia",1.5580384,103.6420599,"anthropogenic terrestrial biome","mgp5465","free-living","wastewater_treatment_plant","freshwater","wastewater","vijaya kumaran","illumina"
"mgm4531600","wastewater treatment plant","sewage","wastewater|sludge",NA,"Dataset UTM_sample_C1","UTM waste water treatment plant project C","metagenome","WGS",NA,"Malaysia",1.5580384,103.6420599,"anthropogenic terrestrial biome","mgp5468","free-living","wastewater_treatment_plant","freshwater","wastewater","vijaya kumaran","illumina"
"mgm4531601","wastewater treatment plant","sewage","wastewater|sludge",NA,"UTM_sample_C3","UTM waste water treatment plant project C","metagenome","WGS",NA,"Malaysia",1.5580384,103.6420599,"anthropogenic terrestrial biome","mgp5468","free-living","wastewater_treatment_plant","freshwater","wastewater","vijaya kumaran","illumina"
