"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem"
"mgm4581537","area of open water","hypersaline water","water",NA,"ndms01lignin01_joined","Eastern Med lignin set 2","metagenome","WGS",NA,"Egypt",31.852,29.9822,"oceanic sea surface microlayer biome","mgp10814","free-living","hypersaline_water","marine","saline_water"
"mgm4581538","area of open water","hypersaline water","water",NA,"ndms01lignin02_joined","Eastern Med lignin set 2","metagenome","WGS",NA,"Egypt",31.852,29.9822,"oceanic sea surface microlayer biome","mgp10814","free-living","hypersaline_water","marine","saline_water"
"mgm4581539","area of open water","hypersaline water","water",NA,"ndms01lignin03_joined","Eastern Med lignin set 2","metagenome","WGS",NA,"Egypt",31.852,29.9822,"oceanic sea surface microlayer biome","mgp10814","free-living","hypersaline_water","marine","saline_water"
"mgm4581540","area of open water","hypersaline water","water",NA,"ndms01lignin11_joined","Eastern Med lignin set 2","metagenome","WGS",NA,"Egypt",31.852,29.9822,"oceanic sea surface microlayer biome","mgp10814","free-living","hypersaline_water","marine","saline_water"
"mgm4581542","area of open water","hypersaline water","water",NA,"ndms01lignin16_joined","Eastern Med lignin set 2","metagenome","WGS",NA,"Egypt",31.852,29.9822,"oceanic sea surface microlayer biome","mgp10814","free-living","hypersaline_water","marine","saline_water"
"mgm4581543","area of open water","hypersaline water","water",NA,"ndms01lignin17_joined","Eastern Med lignin set 2","metagenome","WGS",NA,"Egypt",31.852,29.9822,"oceanic sea surface microlayer biome","mgp10814","free-living","hypersaline_water","marine","saline_water"
"mgm4581544","area of open water","hypersaline water","water",NA,"ndms01lignin19_joined","Eastern Med lignin set 2","metagenome","WGS",NA,"Egypt",31.852,29.9822,"oceanic sea surface microlayer biome","mgp10814","free-living","hypersaline_water","marine","saline_water"
"mgm4581707","area of open water","hypersaline water","water",NA,"ndms01lignin05_joined","eastern med lignin set 3","metagenome","WGS",NA,"Egypt",31.852,29.9822,"oceanic sea surface microlayer biome","mgp10823","free-living","hypersaline_water","marine","saline_water"
"mgm4581709","area of open water","hypersaline water","water",NA,"ndms01lignin10_joined","eastern med lignin set 3","metagenome","WGS",NA,"Egypt",31.852,29.9822,"oceanic sea surface microlayer biome","mgp10823","free-living","hypersaline_water","marine","saline_water"
"mgm4581710","area of open water","hypersaline water","water",NA,"ndms01lignin12_joined","eastern med lignin set 3","metagenome","WGS",NA,"Egypt",31.852,29.9822,"oceanic sea surface microlayer biome","mgp10823","free-living","hypersaline_water","marine","saline_water"
"mgm4581711","area of open water","hypersaline water","water",NA,"ndms01lignin14_joined","eastern med lignin set 3","metagenome","WGS",NA,"Egypt",31.852,29.9822,"oceanic sea surface microlayer biome","mgp10823","free-living","hypersaline_water","marine","saline_water"
"mgm4581712","area of open water","hypersaline water","water",NA,"ndms01lignin18_joined","eastern med lignin set 3","metagenome","WGS",NA,"Egypt",31.852,29.9822,"oceanic sea surface microlayer biome","mgp10823","free-living","hypersaline_water","marine","saline_water"
"mgm4581713","area of open water","hypersaline water","water",NA,"ndms01lignin20_joined","eastern med lignin set 3","metagenome","WGS",NA,"Egypt",31.852,29.9822,"oceanic sea surface microlayer biome","mgp10823","free-living","hypersaline_water","marine","saline_water"
"mgm4581714","area of open water","hypersaline water","water",NA,"ndms01lignin21_joined","eastern med lignin set 3","metagenome","WGS",NA,"Egypt",31.852,29.9822,"oceanic sea surface microlayer biome","mgp10823","free-living","hypersaline_water","marine","saline_water"
