"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem"
"mgm4508940","farm","agricultural soil","soil",NA,"002005_Nocton_Soy_GAGTGG_filtered_merged.fastq","EarlhamMetagenomes2012","metagenome","WGS","north america","USA",39.801142,-84.92135,"Temperate broadleaf and mixed forest biome","mgp2850","free-living","farm_soil","terrestrial","soil"
"mgm4508941","canopy","leafy wood soil","soil",NA,"002006_Sedgewick_ACTGAT_filtered_merged.fastq","EarlhamMetagenomes2012","metagenome","WGS","north america","USA",39.750944,-84.918778,"Temperate broadleaf and mixed forest biome","mgp2850","free-living","agricultural_soil","terrestrial","soil"
"mgm4508942","canopy","leafy wood soil","soil",NA,"002007_ATTCCT_filtered_merged.fastq","EarlhamMetagenomes2012","metagenome","WGS","north america","USA",39.795592,-84.922042,"Temperate broadleaf and mixed forest biome","mgp2850","free-living","agricultural_soil","terrestrial","soil"
"mgm4517539","Archeological site","biofilm material","human-oral",NA,"B61_contigs","Ancient Oral Metagenome","metagenome","WGS","europe","Germany",51.565093,8.849015,"Temperate broadleaf and mixed forest biome","mgp365","host-associated","saliva","terrestrial","human_host-associated"
"mgm4530391","Archeological site","biofilm material","human-oral",NA,"G12_contigs.fna","Ancient Oral Metagenome","metagenome","WGS","europe","Germany",51.565093,8.849015,"Temperate broadleaf and mixed forest biome","mgp365","host-associated","saliva","terrestrial","human_host-associated"
"mgm4548727","organic feature","mucus","human-associated",NA,"COPD03","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated"
"mgm4548728","organic feature","mucus","human-associated",NA,"COPD02","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated"
"mgm4548729","organic feature","mucus","human-associated",NA,"COPD01","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated"
"mgm4548730","organic feature","mucus","human-associated",NA,"COPD04","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated"
"mgm4548811","organic feature","mucus","human-associated",NA,"copd_unused1","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated"
"mgm4549010","organic feature","mucus","human-associated",NA,"LNEG03","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated"
"mgm4549011","organic feature","mucus","human-associated",NA,"SCON01","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated"
"mgm4549012","organic feature","mucus","human-associated",NA,"LPOS01","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated"
"mgm4549013","organic feature","mucus","human-associated",NA,"LPOS04","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated"
"mgm4549014","organic feature","mucus","human-associated",NA,"SCON10","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated"
"mgm4549015","organic feature","mucus","human-associated",NA,"LNEG06","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated"
"mgm4549016","organic feature","mucus","human-associated",NA,"LNEG04","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated"
"mgm4549017","organic feature","mucus","human-associated",NA,"SCON05","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated"
"mgm4549018","organic feature","mucus","human-associated",NA,"SCON09","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated"
"mgm4549019","organic feature","mucus","human-associated",NA,"LPOS03","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated"
"mgm4549020","organic feature","mucus","human-associated",NA,"SCON04","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated"
"mgm4549021","organic feature","mucus","human-associated",NA,"SCON08","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated"
"mgm4549506","organic feature","mucus","human-associated",NA,"COPD05","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated"
"mgm4549855","organic feature","mucus","human-associated",NA,"COPD06","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated"
