"samples","life_style","biosphere","ecosystem","habitat","country","project_name","latitude","longitude","PI_lastname","seq_method"
"mgm4534345","free-living","freshwater","freshwater","river","USA","M3P 2012",44,-93,"sadowsky","illumina"
"mgm4534346","free-living","freshwater","freshwater","river","USA","M3P 2012",44,-92,"sadowsky","illumina"
"mgm4534347","free-living","freshwater","freshwater","river","USA","M3P 2012",44,-92,"sadowsky","illumina"
"mgm4534348","free-living","freshwater","freshwater","river","USA","M3P 2012",44,-92,"sadowsky","illumina"
"mgm4534349","free-living","freshwater","freshwater","river","USA","M3P 2012",44,-92,"sadowsky","illumina"
"mgm4534350","free-living","freshwater","freshwater","river","USA","M3P 2012",44,-92,"sadowsky","illumina"
"mgm4534351","free-living","freshwater","freshwater","river","USA","M3P 2012",44,-92,"sadowsky","illumina"
"mgm4549283","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549284","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549285","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549286","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549287","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549289","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549290","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549291","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549294","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549295","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549326","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549327","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549328","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549329","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549332","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549333","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549334","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549335","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549336","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549337","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549338","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549339","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549340","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549341","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549342","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549343","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549344","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549345","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549346","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549347","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549348","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549349","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549350","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549351","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549352","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549353","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549354","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549355","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549358","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549359","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549360","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549361","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549362","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549363","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549364","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549366","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549367","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549368","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549369","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549370","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549371","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549372","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549373","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549376","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549377","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549379","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549380","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549381","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549382","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549383","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549384","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549385","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549386","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549387","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549388","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549389","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549390","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549391","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549392","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549393","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549394","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549395","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549396","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549397","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549398","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549399","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549400","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549401","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549402","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549403","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549409","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549410","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549411","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549412","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549413","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549414","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4549415","free-living","freshwater","freshwater","river","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4554277","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4554278","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4554280","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4554281","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4554282","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4554283","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4554286","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4554287","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4554288","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4554289","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4554290","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4554291","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4554293","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4554294","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4554295","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4554297","free-living","freshwater","sediment","river_sediment","United States of America","CAWS_2013",42.041005,-87.710676,"gilbert","illumina"
"mgm4625204","free-living","freshwater","sediment","river_sediment","France","RiverPlasmidome",50.4290833333333,3.02233333333333,"cyriaque","illumina"
"mgm4625205","free-living","freshwater","sediment","river_sediment","France","RiverPlasmidome",50.3108333333333,3.08483333333333,"cyriaque","illumina"
"mgm4628877","free-living","freshwater","freshwater","river","USA","Fate and Transport of Antibiotics and Antibiotic Resistance Genes During Historic Colorado Flood",40.585,-105.084,"pruden","illumina"
"mgm4628878","free-living","freshwater","freshwater","river","USA","Fate and Transport of Antibiotics and Antibiotic Resistance Genes During Historic Colorado Flood",40.585,-105.084,"pruden","illumina"
"mgm4628879","free-living","freshwater","freshwater","river","USA","Fate and Transport of Antibiotics and Antibiotic Resistance Genes During Historic Colorado Flood",40.585,-105.084,"pruden","illumina"
"mgm4628880","free-living","freshwater","freshwater","river","USA","Fate and Transport of Antibiotics and Antibiotic Resistance Genes During Historic Colorado Flood",40.585,-105.084,"pruden","illumina"
"mgm4628881","free-living","freshwater","freshwater","river","USA","Fate and Transport of Antibiotics and Antibiotic Resistance Genes During Historic Colorado Flood",40.585,-105.084,"pruden","illumina"
"mgm4688575","free-living","freshwater","freshwater","river","USA","Simulated reclaimed water system microbiome",37.276682,-80.432882,"pruden","illumina"
"mgm4688577","free-living","freshwater","freshwater","river","USA","Simulated reclaimed water system microbiome",37.276682,-80.432882,"pruden","illumina"
"mgm4688578","free-living","freshwater","freshwater","river","USA","Simulated reclaimed water system microbiome",37.276682,-80.432882,"pruden","illumina"
"mgm4688579","free-living","freshwater","freshwater","river","USA","Simulated reclaimed water system microbiome",37.276682,-80.432882,"pruden","illumina"
"mgm4688580","free-living","freshwater","freshwater","river","USA","Simulated reclaimed water system microbiome",37.276682,-80.432882,"pruden","illumina"
"mgm4688582","free-living","freshwater","freshwater","river","USA","Simulated reclaimed water system microbiome",37.276682,-80.432882,"pruden","illumina"
"mgm4688584","free-living","freshwater","freshwater","river","USA","Simulated reclaimed water system microbiome",37.276682,-80.432882,"pruden","illumina"
"mgm4688585","free-living","freshwater","freshwater","river","USA","Simulated reclaimed water system microbiome",37.276682,-80.432882,"pruden","illumina"
"mgm4688586","free-living","freshwater","freshwater","river","USA","Simulated reclaimed water system microbiome",37.276682,-80.432882,"pruden","illumina"
"mgm4730041","free-living","freshwater","sediment","river_sediment","USA","Mussel_bed_metagenomics",41.452804,-90.763299,"just","illumina"
"mgm4730043","free-living","freshwater","sediment","river_sediment","USA","Mussel_bed_metagenomics",41.45154,-90.753275,"just","illumina"
"mgm4730044","free-living","freshwater","sediment","river_sediment","USA","Mussel_bed_metagenomics",41.45154,-90.753275,"just","illumina"
"mgm4730045","free-living","freshwater","sediment","river_sediment","USA","Mussel_bed_metagenomics",41.452804,-90.763299,"just","illumina"
"mgm4730046","free-living","freshwater","sediment","river_sediment","USA","Mussel_bed_metagenomics",41.452804,-90.763299,"just","illumina"
"mgm4730047","free-living","freshwater","sediment","river_sediment","USA","Mussel_bed_metagenomics",41.45154,-90.753275,"just","illumina"
"mgm4730048","free-living","freshwater","sediment","river_sediment","USA","Mussel_bed_metagenomics",41.452804,-90.763299,"just","illumina"
"mgm4440055","host-associated","terrestrial","animal_host-associated","fish","United States of America","Aquacultured Fish (Kent State)",33.537594,-116.097751,"angly","454"
"mgm4440056","host-associated","terrestrial","animal_host-associated","fish","United States of America","Aquacultured Fish (Kent State)",33.537594,-116.097751,"angly","454"
"mgm4440059","host-associated","terrestrial","animal_host-associated","fish","United States of America","Aquacultured Fish (Kent State)",33.537594,-116.097751,"angly","454"
"mgm4440064","host-associated","terrestrial","animal_host-associated","fish","United States of America","Aquacultured Fish (Kent State)",33.537594,-116.097751,"angly","454"
"mgm4440065","host-associated","terrestrial","animal_host-associated","fish","United States of America","Aquacultured Fish (Kent State)",33.537594,-116.097751,"angly","454"
"mgm4440066","host-associated","terrestrial","animal_host-associated","fish","United States of America","Aquacultured Fish (Kent State)",33.537594,-116.097751,"angly","454"
"mgm4441695","host-associated","terrestrial","animal_host-associated","fish","United States of America","Aquacultured Fish (Kent State)",33.537594,-116.097751,"angly","454"
"mgm4441696","host-associated","terrestrial","animal_host-associated","fish","United States of America","Aquacultured Fish (Kent State)",33.537594,-116.097751,"angly","454"
"mgm4470906","free-living","freshwater","freshwater","contaminated_water","Trinidad and Tobago","Hydrocarbon Metagenomics Project",10.239333,-61.604991,"caffrey","454"
"mgm4546120","free-living","freshwater","sediment","lake_sediment","Mexico","Utricularia gibba microbiome",19.5305361,-101.2531583,"alcaraz","illumina"
"mgm4546121","free-living","freshwater","sediment","lake_sediment","Mexico","Utricularia gibba microbiome",19.5305361,-101.2531583,"alcaraz","illumina"
"mgm4551388","free-living","freshwater","freshwater","freshwater_biofilm","Germany","Particles_flow_reactors_metagenome",53.16667,13.03333,"ionescu","illumina"
"mgm4551389","free-living","freshwater","freshwater","freshwater_biofilm","Germany","Particles_flow_reactors_metagenome",53.16667,13.03333,"ionescu","illumina"
"mgm4555202","free-living","marine","saline_water","salt_lake","Hungary","Budos-szek soda pan metagenome",46.866333,19.1692167,"szabo","ion torrent"
"mgm4604227","free-living","freshwater","sediment","lake_sediment","Germany","LS_Achromatium",53.16667,13.03333,"ionescu","illumina"
"mgm4675013","free-living","freshwater","wastewater","wastewater_treatment_plant","China","Heyuan WWTP eco-sewage metagenomics",23.743686,114.700961,"bai","illumina"
"mgm4675014","free-living","freshwater","wastewater","sludge","China","Heyuan WWTP eco-sewage metagenomics",23.743686,114.700961,"bai","illumina"
"mgm4675015","free-living","freshwater","wastewater","sludge","China","Heyuan WWTP eco-sewage metagenomics",23.743686,114.700961,"bai","illumina"
"mgm4675016","free-living","freshwater","wastewater","wastewater_treatment_plant","China","Heyuan WWTP eco-sewage metagenomics",23.743686,114.700961,"bai","illumina"
"mgm4714040","free-living","freshwater","freshwater","lake","Germany","MARS2015",13.026172,53.151553,"grossart","illumina"
"mgm4714041","free-living","freshwater","freshwater","lake","Germany","MARS2015",13.026172,53.151553,"grossart","illumina"
"mgm4714042","free-living","freshwater","freshwater","lake","Germany","MARS2015",13.026172,53.151553,"grossart","illumina"
"mgm4714043","free-living","freshwater","freshwater","lake","Germany","MARS2015",13.026172,53.151553,"grossart","illumina"
"mgm4714044","free-living","freshwater","freshwater","lake","Germany","MARS2015",13.026172,53.151553,"grossart","illumina"
"mgm4714045","free-living","freshwater","freshwater","lake","Germany","MARS2015",13.026172,53.151553,"grossart","illumina"
"mgm4714046","free-living","freshwater","freshwater","lake","Germany","MARS2015",13.026172,53.151553,"grossart","illumina"
"mgm4714047","free-living","freshwater","freshwater","lake","Germany","MARS2015",13.026172,53.151553,"grossart","illumina"
"mgm4714048","free-living","freshwater","freshwater","lake","Germany","MARS2015",13.026172,53.151553,"grossart","illumina"
"mgm4714049","free-living","freshwater","freshwater","lake","Germany","MARS2015",13.026172,53.151553,"grossart","illumina"
"mgm4714050","free-living","freshwater","freshwater","lake","Germany","MARS2015",13.026172,53.151553,"grossart","illumina"
"mgm4714051","free-living","freshwater","freshwater","lake","Germany","MARS2015",13.026172,53.151553,"grossart","illumina"
"mgm4714052","free-living","freshwater","freshwater","lake","Germany","MARS2015",13.026172,53.151553,"grossart","illumina"
"mgm4714053","free-living","freshwater","freshwater","lake","Germany","MARS2015",13.026172,53.151553,"grossart","illumina"
"mgm4723070","free-living","freshwater","freshwater","lake","Canada","SAS_BGR_metagenome",55.225018,-77.69658,"culley","illumina"
"mgm4723071","free-living","freshwater","freshwater","permafrost","Canada","SAS_BGR_metagenome",56.610833,-76.215,"culley","illumina"
"mgm4723474","free-living","freshwater","freshwater","permafrost","Canada","SWIFT_metagenome_kuuj",55.225018,-77.69658,"culley","illumina"
"mgm4481963","free-living","freshwater","sediment","river_sediment","USA","Tongue_all_2011",45.139111,-106.767658,"gibbons","illumina"
"mgm4481964","free-living","freshwater","sediment","river_sediment","USA","Tongue_all_2011",45.139111,-106.767658,"gibbons","illumina"
"mgm4481966","free-living","freshwater","sediment","river_sediment","USA","Tongue_all_2011",45.139111,-106.767658,"gibbons","illumina"
"mgm4528142","free-living","freshwater","freshwater","sulfur_spring","USA","Geobiology 2013",35.2089453,-97.4457048,"spear","illumina"
"mgm4528143","free-living","freshwater","freshwater","sulfur_spring","USA","Geobiology 2013",35.2089453,-97.4457048,"spear","illumina"
"mgm4528144","free-living","freshwater","freshwater","sulfur_spring","USA","Geobiology 2013",35.2089453,-97.4457048,"spear","illumina"
"mgm4528145","free-living","freshwater","freshwater","sulfur_spring","USA","Geobiology 2013",35.2089453,-97.4457048,"spear","illumina"
"mgm4528146","free-living","freshwater","freshwater","sulfur_spring","USA","Geobiology 2013",35.2089453,-97.4457048,"spear","illumina"
"mgm4528147","free-living","freshwater","freshwater","sulfur_spring","USA","Geobiology 2013",35.2089453,-97.4457048,"spear","illumina"
"mgm4533663","host-associated","terrestrial","animal_host-associated","animal_gut","USA","Circadian_mouse_cecum",41.8819,-87.6278,"leone","illumina"
"mgm4533664","host-associated","terrestrial","animal_host-associated","animal_gut","USA","Circadian_mouse_cecum",41.8819,-87.6278,"leone","illumina"
"mgm4533665","host-associated","terrestrial","animal_host-associated","animal_gut","USA","Circadian_mouse_cecum",41.8819,-87.6278,"leone","illumina"
"mgm4533666","host-associated","terrestrial","animal_host-associated","animal_gut","USA","Circadian_mouse_cecum",41.8819,-87.6278,"leone","illumina"
"mgm4533667","host-associated","terrestrial","animal_host-associated","animal_gut","USA","Circadian_mouse_cecum",41.8819,-87.6278,"leone","illumina"
"mgm4533668","host-associated","terrestrial","animal_host-associated","animal_gut","USA","Circadian_mouse_cecum",41.8819,-87.6278,"leone","illumina"
"mgm4533669","host-associated","terrestrial","animal_host-associated","animal_gut","USA","Circadian_mouse_cecum",41.8819,-87.6278,"leone","illumina"
"mgm4533670","host-associated","terrestrial","animal_host-associated","animal_gut","USA","Circadian_mouse_cecum",41.8819,-87.6278,"leone","illumina"
"mgm4533671","host-associated","terrestrial","animal_host-associated","animal_gut","USA","Circadian_mouse_cecum",41.8819,-87.6278,"leone","illumina"
"mgm4533672","host-associated","terrestrial","animal_host-associated","animal_gut","USA","Circadian_mouse_cecum",41.8819,-87.6278,"leone","illumina"
"mgm4533673","host-associated","terrestrial","animal_host-associated","animal_gut","USA","Circadian_mouse_cecum",41.8819,-87.6278,"leone","illumina"
"mgm4533674","host-associated","terrestrial","animal_host-associated","animal_gut","USA","Circadian_mouse_cecum",41.8819,-87.6278,"leone","illumina"
"mgm4533675","host-associated","terrestrial","animal_host-associated","animal_gut","USA","Circadian_mouse_cecum",41.8819,-87.6278,"leone","illumina"
"mgm4533676","host-associated","terrestrial","animal_host-associated","animal_gut","USA","Circadian_mouse_cecum",41.8819,-87.6278,"leone","illumina"
"mgm4533677","host-associated","terrestrial","animal_host-associated","animal_gut","USA","Circadian_mouse_cecum",41.8819,-87.6278,"leone","illumina"
"mgm4533678","host-associated","terrestrial","animal_host-associated","animal_gut","USA","Circadian_mouse_cecum",41.8819,-87.6278,"leone","illumina"
"mgm4533679","host-associated","terrestrial","animal_host-associated","animal_gut","USA","Circadian_mouse_cecum",41.8819,-87.6278,"leone","illumina"
"mgm4533680","host-associated","terrestrial","animal_host-associated","animal_gut","USA","Circadian_mouse_cecum",41.8819,-87.6278,"leone","illumina"
"mgm4589537","free-living","freshwater","freshwater","freshwater_biofilm","USA","MTR_GeMS_DNA",38.093517,-81.959342,"bier","illumina"
"mgm4589538","free-living","freshwater","freshwater","freshwater_biofilm","USA","MTR_GeMS_DNA",38.081156,-81.944769,"bier","illumina"
"mgm4589539","free-living","freshwater","freshwater","freshwater_biofilm","USA","MTR_GeMS_DNA",38.093239,-81.963733,"bier","illumina"
"mgm4589540","free-living","freshwater","freshwater","freshwater_biofilm","USA","MTR_GeMS_DNA",38.147433,-81.993931,"bier","illumina"
"mgm4589541","free-living","freshwater","freshwater","freshwater_biofilm","USA","MTR_GeMS_DNA",38.150972,-82.000242,"bier","illumina"
"mgm4589543","free-living","freshwater","freshwater","freshwater_biofilm","USA","MTR_GeMS_DNA",38.061635,-81.943771,"bier","illumina"
"mgm4589544","free-living","freshwater","freshwater","freshwater_biofilm","USA","MTR_GeMS_DNA",38.047192,-81.912722,"bier","illumina"
"mgm4589545","free-living","freshwater","freshwater","freshwater_biofilm","USA","MTR_GeMS_DNA",38.08708333,-81.95846389,"bier","illumina"
"mgm4589546","free-living","freshwater","freshwater","freshwater_biofilm","USA","MTR_GeMS_DNA",38.095589,-81.988414,"bier","illumina"
"mgm4589547","free-living","freshwater","freshwater","freshwater_biofilm","USA","MTR_GeMS_DNA",38.062431,-81.953931,"bier","illumina"
"mgm4589548","free-living","freshwater","freshwater","freshwater_biofilm","USA","MTR_GeMS_DNA",38.094733,-81.978239,"bier","illumina"
"mgm4623267","free-living","freshwater","freshwater","stream","USA","Effect of storm events on transport of antibiotic resistance genes in surface water",37.21,-80.445,"pruden","illumina"
"mgm4623268","free-living","freshwater","freshwater","stream","USA","Effect of storm events on transport of antibiotic resistance genes in surface water",37.21,-80.445,"pruden","illumina"
"mgm4623269","free-living","freshwater","freshwater","stream","USA","Effect of storm events on transport of antibiotic resistance genes in surface water",37.21,-80.445,"pruden","illumina"
"mgm4623270","free-living","freshwater","freshwater","stream","USA","Effect of storm events on transport of antibiotic resistance genes in surface water",37.21,-80.445,"pruden","illumina"
"mgm4623271","free-living","freshwater","freshwater","stream","USA","Effect of storm events on transport of antibiotic resistance genes in surface water",37.21,-80.445,"pruden","illumina"
"mgm4623272","free-living","freshwater","freshwater","stream","USA","Effect of storm events on transport of antibiotic resistance genes in surface water",37.21,-80.445,"pruden","illumina"
"mgm4639039","free-living","freshwater","wastewater","stream_biofilm","USA","NCR Park biofilm metagenomes",38.944929,-77.050302,"aunins","illumina"
"mgm4639040","free-living","freshwater","freshwater","stream_biofilm","USA","NCR Park biofilm metagenomes",39.369119,-77.3855,"aunins","illumina"
"mgm4639041","free-living","freshwater","freshwater","stream_biofilm","USA","NCR Park biofilm metagenomes",39.626218,-77.439928,"aunins","illumina"
"mgm4639042","free-living","freshwater","freshwater","stream_biofilm","USA","NCR Park biofilm metagenomes",39.631216,-77.454625,"aunins","illumina"
"mgm4639044","free-living","freshwater","freshwater","stream_biofilm","USA","NCR Park biofilm metagenomes",38.984951,-77.041723,"aunins","illumina"
"mgm4639045","free-living","freshwater","freshwater","stream_biofilm","USA","NCR Park biofilm metagenomes",39.367842,-77.388236,"aunins","illumina"
"mgm4639046","free-living","freshwater","freshwater","stream_biofilm","USA","NCR Park biofilm metagenomes",39.29577,-77.792231,"aunins","illumina"
