"samples","life_style","biosphere","ecosystem","habitat","country","project_name","latitude","longitude","PI_lastname","seq_method"
"mgm4520333","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01522,-72.52805,"gilbert","illumina"
"mgm4520334","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00938,-72.49425,"gilbert","illumina"
"mgm4520335","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00938,-72.49425,"gilbert","illumina"
"mgm4520336","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01534,-72.52817,"gilbert","illumina"
"mgm4520337","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01534,-72.52817,"gilbert","illumina"
"mgm4520338","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01463,-72.52848,"gilbert","illumina"
"mgm4520339","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01463,-72.52848,"gilbert","illumina"
"mgm4520340","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01023,-72.53063,"gilbert","illumina"
"mgm4520341","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01023,-72.53063,"gilbert","illumina"
"mgm4520342","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01502,-72.52851,"gilbert","illumina"
"mgm4520343","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01502,-72.52851,"gilbert","illumina"
"mgm4520344","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.015,-72.52847,"gilbert","illumina"
"mgm4520345","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.015,-72.52847,"gilbert","illumina"
"mgm4520346","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00943,-72.49429,"gilbert","illumina"
"mgm4520347","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00943,-72.49429,"gilbert","illumina"
"mgm4520348","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.06277,-72.45041,"gilbert","illumina"
"mgm4520349","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.06277,-72.45041,"gilbert","illumina"
"mgm4520350","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.06272,-75.45012,"gilbert","illumina"
"mgm4520351","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.06272,-75.45012,"gilbert","illumina"
"mgm4520352","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01039,-72.53075,"gilbert","illumina"
"mgm4520353","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01039,-72.53075,"gilbert","illumina"
"mgm4520354","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.015,-72.52847,"gilbert","illumina"
"mgm4520355","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.015,-72.52847,"gilbert","illumina"
"mgm4520356","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00938,-72.49426,"gilbert","illumina"
"mgm4520357","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00938,-72.49426,"gilbert","illumina"
"mgm4520358","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00933,-72.49417,"gilbert","illumina"
"mgm4520359","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00933,-72.49417,"gilbert","illumina"
"mgm4520360","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01444,-72.52846,"gilbert","illumina"
"mgm4520361","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01444,-72.52846,"gilbert","illumina"
"mgm4520362","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01504,-72.52851,"gilbert","illumina"
"mgm4520363","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01504,-72.52851,"gilbert","illumina"
"mgm4520364","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00936,-72.49427,"gilbert","illumina"
"mgm4520365","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00936,-72.49427,"gilbert","illumina"
"mgm4520366","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.02556,-72.46173,"gilbert","illumina"
"mgm4520368","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01508,-72.52867,"gilbert","illumina"
"mgm4520369","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01508,-72.52867,"gilbert","illumina"
"mgm4520370","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.06267,-75.45014,"gilbert","illumina"
"mgm4520371","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.06267,-75.45014,"gilbert","illumina"
"mgm4520372","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.02536,-72.4617,"gilbert","illumina"
"mgm4520373","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.02536,-72.4617,"gilbert","illumina"
"mgm4520374","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00942,-72.49433,"gilbert","illumina"
"mgm4520375","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00942,-72.49433,"gilbert","illumina"
"mgm4520376","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01512,-72.5286,"gilbert","illumina"
"mgm4520377","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01512,-72.5286,"gilbert","illumina"
